key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
LOST10,You can't win them all!,Man kann ja nicht immer gewinnen!,不可能一直赢嘛，看开点。,まあ、毎回勝てる人なんていないよ！,전부 이길 수는 없겠죠!,總不可能一直贏嘛，看開點。,Vous ne pouvez pas toujours gagner !,Ну не всегда же побеждать!,Nem sempre a gente vence.,"A veces se gana, a veces se pierde."
,,,,,,,,,,
<!MissingKey:12:You can $h[shift] the whole inventory using the $h[D-pad].>,You can $h[shift] the whole inventory using the $h[D-pad].,Du kannst das ganze Inventar mit dem $h[D-pad] $h[verschieben].,你可以使用$h[十字键]来$h[移动]整个背包。,$h[十字キー]を押すと、バックパック全体を$h[ずらせる]よ。,$h[십자 패드]를 통해 모든 인벤토리를 $h[이동]시킬 수 있습니다.,你可以使用$h[十字鍵]來$h[移動]整個背包。,Vous pouvez $h[décaler] tout l'inventaire en utilisant la $h[Croix directionnelle].,С помощью $h[кнопок направления] можно $h[перемещать] весь инвентарь одновременно.,Você pode $h[mover] todo o inventário usando o $h[D-pad].,Puedes $h[desplazarte] por el inventario usando la $h[cruceta del mando].
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<!MissingKey:19:You can $h[undo] changes with $h[Ctrl+Z] and $h[redo] them with $h[Ctrl+Y].>,You can $h[undo] changes with $h[Ctrl+Z] and $h[redo] them with $h[Ctrl+Y].,Du kannst Änderungen mit $h[Strg+Z] $h[rückgängig machen] und mit $h[Strg+Y] $h[wiederherstellen].,你可以通过按$h[Ctrl+Z]来撤销$h[撤销]变动，按$h[Ctrl+Y]即可$h[恢复]变动。,$h[Ctrl+Z]で$h[アンドゥ（元に戻す）]ができて、$h[Ctrl+Y]で$h[リドゥ（やり直し）]できるよ。,변경 사항은 $h[Ctrl+Z]로 $h[되돌리고] $h[Ctrl+Y]로 이를 $h[복구]할 수 있습니다.,你可以通過按$h[Ctrl+Z]來撤銷$h[撤銷]變動，按$h[Ctrl+Y]即可$h[恢復]變動。,Vous pouvez $h[Annuler] les modifications en effectuant $h[Ctrl+Z] et les $h[Rétablir] en effectuant $h[Ctrl+Y].,"Вы можете $h[отменить] изменения с помощью $h[Ctrl+Z] или $h[вернуть] их, нажав $h[Ctrl+Y].",Você pode $h[desfazer] alterações com $h[Ctrl+Z] e $h[refazer] com $h[Ctrl+Y].,Puedes $h[deshacer] los cambios con $h[Ctrl+Z] y $h[rehacerlos] con $h[Ctrl+Y].
TIP11,I can reserve stuff for you! Just click the price tag or right-click the item to let me know.,"Ich kann dir Gegenstände reservieren! Klick einfach auf den Preis, oder rechtsklick den Gegenstand.",我可以为你保留物品！只要点击价格标签或者点击右键就行。,"アイテムの取置きもやってるよ！
取置きしてほしいモノは、
値札を左クリックするか、
アイテムを右クリックして教えてね。",아이템은 예약해놓을 수 있습니다! 가격표를 클릭하거나 아이템을 우클릭해 저에게 알려주세요.,我可以為你保留物品！只要點擊價格標籤或者點擊右鍵就行。,Je peux vous mettre des articles de côté ! Il vous suffit de cliquer sur l'étiquette de prix ou de faire un clic droit sur l'objet pour me le faire savoir.,"Любой предмет можно зарезервировать! Просто нажмите на ценник или щелкните правой кнопкой мыши по предмету, чтобы я сохранил его для вас.","Posso reservar as coisas para você, é só clicar na etiqueta de preço ou com o botão direito no item.",¡Te puedo reservar lo que no puedas comprar! Solo tienes que hacer clic en el precio o clic derecho en el objeto.
TIP10,Backpacks can have effects on the items inside!,Rücksäcke können die Gegenstände darin beeinflussen.,背包可以对里面的物品施加效果！,"バックパックの中に入れれば、
アイテムは効果を発揮するよ！",배낭은 안에 있는 아이템에 영향을 주는 효과를 지니고 있을 수도 있습니다!,背包可以對裡面的物品施加效果！,Les sacs à dos peuvent avoir des effets sur les objets contenus à l'intérieur !,Многие рюкзаки усиливают предметы внутри!,As mochilas podem surtir efeito sobre os itens dentro delas.,¡Las mochilas pueden causar efectos en los objetos que guardan dentro!
,,,,,,,,,,
TIP12,You can always pause your adventure and come back later!,Du kannst immer eine Pause machen und später wiederkommen!,你可以随时暂停游戏，之后再继续！,"冒険はいつでも中断して、
あとで戻ってこれるからね！",언제든지 모험을 잠시 멈춰두고 나중에 다시 돌아오실 수 있습니다!,你可以隨時暫停遊戲，之後再繼續！,Vous pouvez toujours interrompre votre aventure et revenir plus tard !,Вы всегда можете остановить игру и вернуться позже!,Fique à vontade para pausar a aventura quando quiser e voltar depois!,¡No te olvides de que puedes tomarte un descanso y retomar la aventura más adelante!
BUY_SALE3,The best offer you can find in this whole shop!,Das beste Angebot im ganzen Laden!,店里最划算的物品！,この店で一番のお買い得品だよ！,이 상점에서 찾을 수 있는 최고의 상품이네요!,店裡最划算的物品！,La meilleure offre que vous puissiez trouver dans toute cette boutique !,Это самая выгодная сделка в магазине!,É a melhor oferta que você vai encontrar nesta loja!,¡La mejor oferta de toda la tienda!
BUY_SALE2,You won’t find an $item any cheaper anywhere!,Du wirst ein $item nirgendwo billiger finden!,我这里的$item是最低价了！,"こんなに安い$item、
他じゃお目にかかれないよ！","이거보다 싼 $item, 어디에서도 찾을 수 없을 걸요!",我這裡的$item是最低價的！,Vous ne trouverez aucun(e) $item à un prix aussi bas ailleurs !,$item со специальной скидкой! Более выгодного предложения просто не существует!,Não existe $item que custe menos do que aqui!,¡No encontrarás $item a este precio en ningún otra tienda!
TUTORIAL_Lock,You can $h[lock] items from combining by $h[right-clicking] them in your inventory.,"Du kannst Gegenstände $h[sperren], damit sie nicht kombinieren. Rechtsklick sie einfach in deinem Inventar.",右键点击背包中的物品可以将其$h[锁定]不进行融合。,合成したくないアイテムは、バックパック内で右クリックすると$h[ロック]できるよ。,인벤토리에서 아이템을 우클릭해 아이템을 $h[잠금] 상태로 만들 수 있답니다.,右鍵點擊背包中的物品可以將其$h[鎖定]不進行融合。,Vous pouvez $h[verrouiller] des objets pour empêcher leur combinaison en cliquant avec le bouton droit de la souris sur les objets dans votre inventaire.,"Вы можете $h[заблокировать] предмет, чтобы защитить его от объединения, нажав на него правой кнопкой мыши.",Você pode $h[bloquear] itens para impedir a combinação deles clicando com o botão direito no inventário.,Puedes $h[bloquear] los objetos que no quieres que se combinen haciendo clic derecho sobre ellos en tu inventario.
BUY_SALE1,An offer no one can refuse!,An Angebot dass du nicht ablehnen kannst.,没有人能拒绝的价格！,買わない手はないくらいおトクだよ！,사지 않고는 배길 수 없죠!,價格太誘人了！,Une offre que personne ne pourra refuser !,Разве от такого предложения можно отказаться?!,Uma oferta irrecusável!,¡Una oferta que nadie rechazaría!
<!MissingKey:28:You can $h[reserve] items in case you want them later! Press {uibutton} on the price tag or {reservebutton} on the item.>,You can $h[reserve] items in case you want them later! Press {uibutton} on the price tag or {reservebutton} on the item.,"Du kannst Gegenstände $h[reservieren], falls du sie später kaufen willst! Drücke {uibutton} auf dem Preisschild oder {reservebutton} auf dem Gegenstand.",你可以$h[保留]物品，留到之后购买！在价格标签上按{uibutton}或者在物品上按{reservebutton}。,"あとで買いたいアイテムがあったら
$h[取り置き]もできるよ！
値札の上で{uibutton}を押すか、
アイテムの上で{reservebutton}を押してね。",원하는 아이템을 $h[예약]해두고 나중에 구매할 수 있습니다! 가격표 위에서 {uibutton} 버튼을 누르거나 아이템 위에서 {reservebutton} 버튼을 누르세요.,你可以$h[保留]物品，留到之後再購買！在價格標籤上按{uibutton}或在物品上按{reservebutton}。,Vous pouvez $h[réserver] des objets au cas où vous les voudriez plus tard ! Appuyez sur {uibutton} sur l'étiquette de prix ou {reservebutton} sur l'objet.,"Вы можете $h[зарезервировать] предметы на случай, если вы хотите купить их позднее! Нажмите «{uibutton}» на ценнике или {reservebutton} на предмете.",Você pode $h[reservar] itens se os quiser para depois! Aperte {uibutton} na etiqueta de preço ou {reservebutton} no item.,¡Puedes $h[reservar] objetos que quieras comprar más adelante! Pulsa {uibutton} en la etiqueta del precio o {reservebutton} en el objeto.
WON10,I will tell my bard to write a song about you!,Mein Barde soll dir ein Lied widmen!,我的吟游诗人在歌颂你！,吟遊詩人に頼んで、キミについて曲を書いてもらうね！,음유시인에게 당신에 관한 노래를 부탁해야겠네요!,我的吟遊詩人在歌頌你！,Je dirai à mon barde d'écrire une chanson sur vous !,"Передам своему барду, чтобы он написал о вас балладу!",Vou pedir ao meu bardo para compor uma canção sobre você!,¡Le voy a pedir a mi bardo que escriba una canción sobre ti!
,,,,,,,,,,
BUY_SALE4,You will get the friends and family discount on that one!,Du bekommst den Familienrabatt!,这个我给你友情价！,"このアイテム、友達＆ファミリー用の
割引をつけてあげるね！",지인 특별 할인을 적용해드리겠습니다!,這個我給你友情價！,Vous bénéficierez de la réduction pour les amis et la famille !,У нас предусмотрена скидка за приглашение друзей и родных!,Vou te dar o desconto de família e amigos nesse aí!,"¡Te he hecho precio de amigo, que lo sepas!"
CONTINUE1,If that isn’t my favorite customer coming back to their run!,Wenn da nicht mein liebster Kunde zurückkehrt!,这不是我最喜欢的顾客吗！打完一局又回来了。,やあ、ボクのお気に入りのお客さんのお帰りだ！,제 최고의 손님이 다시 돌아오셨군요!,這不是我最喜歡的顧客嗎？打完一局又回來啦？,Mais re-voilà donc une tête que je connais bien ! Vous n'aviez pas terminé vos courses ?,А не мой ли это любимый покупатель? С возвращением!,"Ora, ora, se não é a minha cliente favorita voltando para mais uma rodada!","¡Anda, si es mi mejor cliente! A ver qué te llevas ahora."
CONTINUE2,I’ve been waiting for you. You are a considerable portion of my customer base!,Ich habe auf dich gewartet. Du bist ein beträchtlicher Teil meines Kundenstamms.,我一直在等你。你可是我非常重要的顾客！,"待ってたよ。キミはウチの常連客の
なかでも特にお得意さんだからね！",기다리고 있었습니다. 정말 자주 찾아오시는 손님 중에 한 분이시거든요!,我一直在等你。你可是我非常重要的顧客！,"Je vous attendais. Vous savez, vous représentez une part conséquente de ma clientèle !",Я ждал вас. Вы — один из самых важных клиентов!,Estava te esperando. Você é uma parte considerável da minha clientela!,Te estaba esperando. Eres una fuente de ingresos importantísima para mí.
CONTINUE3,Glad you are back!,"Schön, dich wiederzusehen!",很高兴你能回来！,また来てくれてうれしいよ！,다음에 다시 만나죠!,很高興你能回來！,C'est un plaisir de vous revoir !,Рад снова видеть вас!,Que bom que você voltou!,"Estás aquí otra vez, ¡qué bien!"
"<!MissingKey:35:If you want to see which $h[recipes] an item has, $h[hover] it and press $h[Alt]!>","If you want to see which $h[recipes] an item has, $h[hover] it and press $h[Alt]!","Wenn du die $h[Rezepte] eines Gegenstands sehen willst, $h[halte die Maus darüber] und drücke $h[Alt]!",如需查看一个物品的$h[合成表]，只需要将鼠标$h[悬停]到上方并按下$h[Alt]！,アイテムの持つ$h[レシピ]を確認したい時は、アイテムに$h[カーソルを合わせて]、$h[Alt]を押してね。,"특정 아이템이 어떤 $h[조합법]을 지니고 있는지 확인하고 싶다면, $h[커서를 올린] 뒤 $h[Alt]를 누르세요!",如需查看一個物品的$h[合成表]，只需要將滑鼠$h[懸停]到上方並按下$h[Alt]！,"Si vous voulez voir quelles $h[Recettes] un objet possède, $h[Passez la souris] dessus et appuyez sur $h[Alt] !",Хотите увидеть доступные $h[рецепты]? $h[Наведите курсор] на предмет и нажмите $h[Alt]!,"Se quiser ver quais $h[receitas] um item tem, $h[passe o mouse] sobre o item e pressione $h[Alt]!","Si quieres ver qué $h[recetas] tiene un objeto, ¡$h[pásale el ratón] y pulsa $h[Alt]!"
TUTORIAL_Lock_CONTROLLER,You can $h[lock] items in your inventory from combining by moving your cursor on them and pressing {button}.,"Du kannst Gegenstände $h[sperren], damit sie nicht kombinieren. Halte deinen Cursor auf den Gegenstand und drücke {button}.",你可以通过把鼠标移动到物品上使用{button}来$h[锁定]物品。,合成したくないバックパック内のアイテムは、カーソルを合わせて{button}を押すと$h[ロック]できるよ。,인벤토리에서 아이템 위에 커서를 올린 뒤 {button} 버튼을 눌러 아이템을 $h[잠금] 상태로 만들 수 있답니다.,你可以透過把滑鼠移到物品上使用{button}來$h[鎖定]物品。,Vous pouvez $h[verrouiller] des objets dans votre inventaire pour empêcher leur combinaison en plaçant votre curseur dessus et en appuyant sur {button}.,"Вы можете $h[заблокировать] предмет в инвентаре, чтобы защитить его от объединения, наведя на него курсор и нажав {button}.",Você pode $h[bloquear] itens do inventário para impedir que se combinem movendo o cursor até eles e apertando {button}.,Puedes $h[bloquear] los objetos en tu inventario que no quieres combinar pasando el cursor por encima y pulsando {button}.
OUTOFSTAMINA3,"Take care of yourself, you may be using too many weapons!","Pass auf dich auf, es könnten zu viele Waffen sein!",注意下，你的武器太多了！,"気をつけて、もしかすると武器を
使いすぎかも！","조심하세요, 너무 많은 무기를 쓰고 계신 것 같습니다!",請注意一下，你的武器太多了！,"Prenez soin de vous, il se peut que vous utilisiez trop d'armes !","Осторожнее, у вас многовато оружия!","Cuidado, você pode estar usando armas demais!","¡Ve con cuidado, me parece que estás usando muchas armas!"
STORAGE_HINT,"The $item! Remember, effects are not active while the item is in the storage.","$item, wow! Vergiss nicht, die Effekte von Gegenständen sind nicht aktiv, wenn sie im Lager liegen.",$item！请注意，物品在储存箱中时效果不会激活。,"$itemだ！覚えといてよ。
保管ボックス内のアイテムは
効果を発揮しないからね。",$item(이)군요! 아이템이 창고에 있는 동안에는 효과가 발동되지 않는단 점을 꼭 기억해두세요.,$item！請注意，物品在儲存箱中時效果不會啟動。,Un(e) $item ! N'oubliez pas que les effets ne sont pas actifs tant que l'objet se trouve dans la réserve.,"$item, супер! Помните, что эффекты не действуют, пока предмет находится в ящике.","O item $item! Lembre-se, os efeitos não funcionam enquanto o item está no depósito.",¡Recuerda equiparte tu $item! Sus efectos no se activarán si lo tienes en el almacenamiento.
OUTOFSTAMINA2,"If you use up too much stamina, you cannot attack with all your weapons.","Wenn du zu viel Ausdauer nutzt, kannst du nicht mehr mit allen Waffen angreifen.",如果耐力消耗太高，有的武器会发挥不出作用。,"スタミナを消費しすぎると、武器を
使った攻撃は一切できなくなるよ。","스태미나를 너무 많이 사용하면, 무기로 공격할 수 없을지도 모릅니다.",如果耐力消耗太高，有的武器會發揮不出作用。,"Si vous utilisez trop d'endurance, vous ne pouvez pas attaquer avec toutes vos armes.","Если израсходовать слишком много энергии, вы не сможете атаковать всем оружием.","Se você gastar muito vigor, não vai conseguir usar todas as suas armas.","Si usas demasiada resistencia, no podrás atacar con todas tus armas."
OUTOFSTAMINA1,You have used too much stamina! Maybe get rid of a weapon.,Du hast zu viel Ausdauer verbraucht! Vielleicht kannst du eine Waffe loswerden.,你的耐力消耗太高了！移除一两个武器吧。,"スタミナを消費しすぎちゃったね！
武器を減らしたら？",스태미나를 너무 많이 쓰고 있네요! 무기를 줄이시는 건 어떨까요?,你的耐力消耗太高了！移除一兩個武器吧。,Vous avez utilisé trop d'endurance ! Débarrassez-vous peut-être d'une arme.,"Вы затрачиваете слишком много энергии. Может, стоит выкинуть какое-нибудь оружие?",Você gastou muito vigor! Por que não descarta uma arma?,¡Has usado demasiada resistencia! Deshazte de un arma o dos.
<!MissingKey:41:You can $h[shift] the whole inventory using the $h[arrow keys].>,You can $h[shift] the whole inventory using the $h[arrow keys].,Du kannst das ganze Inventar mit den $h[Pfeiltasten] $h[verschieben].,你可以使用$h[方向键]来$h[移动]整个背包。,$h[矢印キー]を押すと、バックパック全体を$h[ずらせる]よ。,$h[화살표 키]를 통해 모든 인벤토리를 $h[이동]시킬 수 있습니다.,你可以使用$h[方向鍵]來$h[移動]整個背包。,Vous pouvez $h[décaler] tout l'inventaire en utilisant les $h[Flèches directionnelles].,С помощью $h[стрелок] можно $h[перемещать] весь инвентарь одновременно.,Você pode $h[mover] todo o inventário usando as $h[setas].,Puedes $h[desplazarte] por el inventario usando las $h[flechas del teclado].
"<!MissingKey:42:If you $h[Ctrl + left click] an item from the $h[inventory] or $h[shop], it goes directly to storage.>","If you $h[Ctrl + left click] an item from the $h[inventory] or $h[shop], it goes directly to storage.",Mit $h[Strg + Linksklick] schickst du einen Gegenstand vom $h[Inventar] oder $h[Laden] direkt ins Lager.,如果你对一个处于$h[背包]或者$h[商店]的物品按下$h[Ctrl + 鼠标左键]，物品就会直接到储存箱。,$h[バックパック]か$h[ショップ]にあるアイテムを$h[Ctrl + 左クリック]すると、保管ボックスに直接入れられるんだ。,"$h[인벤토리]나 $h[상점]의 아이템은 $h[Ctrl + 좌클릭] 할 시, 창고로 바로 이동합니다.",如果你對一個處於$h[背包]或者$h[商店]的物品按下$h[Ctrl + 滑鼠左鍵]，物品就會直接到儲存箱。,"Si vous $h[Effectuez Ctrl + clic gauche] sur un objet de l'$h[Inventaire] ou de la $h[Boutique], il ira directement dans la réserve.","При нажатии $h[Ctrl+ЛКМ] на предмете в $h[инвентаре] или $h[магазине], он сразу отправится в хранилище.","Se você pressionar $h[Ctrl + clique esquerdo] em um item do $h[inventário] ou da $h[loja], ele vai diretamente para o depósito.","Si haces $h[Ctrl + clic izquierdo] en un objeto del $h[inventario] o de la $h[tienda], va directamente al almacenamiento."
TUTORIAL_BUY,Buy $h[items] from the shop by $h[dragging] them into your $h[inventory]!,"Kaufe $h[Gegenstände] aus dem Laden, indem du sie in dein $h[Inventar ziehst]!",把$h[物品]从商店$h[拖进]$h[背包库存]来购买获得。,"ショップの$h[アイテム]は、
$h[インベントリ]に$h[ドラッグ]すれば
購入できるよ！",상점에서 $h[아이템]을 $h[인벤토리]로 $h[드래그]하여 구매하세요!,把$h[物品]從商店$h[拖曳]至$h[背包庫存]進行購買。,Achetez des $h[objets] dans la boutique en les $h[faisant glisser] dans votre $h[inventaire] !,"Покупайте $h[предметы] в магазине, $h[перетаскивая] их в свой $h[инвентарь]!",Compre $h[itens] da loja $h[arrastando]-os para o seu $h[inventário]!,"Para comprar $h[objetos] en la tienda, $h[arrástralos] a tu $h[inventario]."
<!MissingKey:44:You can $h[reserve] items in case you want them later! Click on the price tag or $h[right-click] the item.>,You can $h[reserve] items in case you want them later! Click on the price tag or $h[right-click] the item.,"Du kannst Gegenstände $h[reservieren], falls du sie später kaufen willst! Klicke auf das Preisschild oder rechtsklicke den Gegenstand.",你可以$h[保留]物品供之后再购买！用鼠标左键点击价格条或者用鼠标右键点击物品。,"あとで買いたいアイテムがあったら
$h[取り置き]もできるよ！
値札をクリックするか、
アイテムを右クリックしてね。",원하는 아이템을 $h[예약]해두고 나중에 구매할 수 있습니다! 가격표를 클릭하거나 아이템을 우클릭하세요.,你可以$h[保留]物品，留待日後再購買！用滑鼠左鍵點擊價格條或者用滑鼠右鍵點擊物品。,Vous pouvez $h[réserver] des objets au cas où vous les voudriez plus tard ! Cliquez sur l'étiquette de prix ou faites un clic droit sur l'objet.,"Вы можете $h[зарезервировать] предметы на случай, если вы хотите купить их позднее! Нажмите на ценник или щелкните предмет правой кнопкой мыши.",Você pode $h[reservar] itens se os quiser para depois! Clique na etiqueta de preço ou com o botão direito do mouse no item.,¡Puedes $h[reservar] objetos para más adelante! Haz clic en la etiqueta del precio o clic derecho en el objeto.
UNIQUE_ITEM1,The $h[$item] is a unique item! I went through great trouble getting that for you!,$h[$item] ist ein einzigartiger Gegenstand! Der war nicht leicht zu besorgen!,$h[$item]是一件非常特别的物品！我费了老大劲才给你搞到！,"この$h[$item]は
ユニークアイテムなんだよ！ キミの
ために仕入れるの、大変だったんだ！",특별한 아이템인 $h[$item]! 손에 넣는 게 꽤 힘들었답니다!,$h[$item]是一件非常獨特的物品！我費了好大的工夫才幫你拿來的！,Un(e) $h[$item] est un objet unique ! Je me suis donné beaucoup de mal pour l'obtenir !,"$h[$item] - уникальный предмет! Пришлось попотеть, чтобы раздобыть его для вас.","O $h[$item], é um item Único! Foi uma dificuldade consegui-lo para você!","¡Qué $h[$item] tan inusual! Me ha costado muchísimo encontrar un ejemplar para ti, ¿sabes?"
UNIQUE_ITEM2,Look at that $h[$item]! These unique items are really rare to get!,"Schau, ein $h[$item]! Die sind wirklich selten!",瞧瞧$h[$item]！这些特别物品很难搞到的！,"見て、あの$item！
こういうユニークアイテムはめったに
手に入らないんだ！",$h[$item]! 정말 구하기 힘든 아이템이랍니다! ,瞧瞧$h[$item]！這種獨特物品很難弄到手的！,"Regardez, un(e) $h[$item] ! Ces objets uniques sont vraiment rares à obtenir !",А вот и $h[$item]! Подобные редкие предметы непросто достать!,"Veja esse item, $h[$item]! É muito raro conseguir esses itens Únicos!",¡Mira qué $h[$item]! Un objeto muy difícil de conseguir.
HELLO2,"Just grab whatever you want. And don't hesitate to click me for infos, I like how it feels.","Greif einfach, was du haben möchtest. Du kannst mich immer fragen, indem du mich anklickst, ich mag, wie sich das anfühlt.",想要啥拿就是。点我可以获得提示，尽管点，我不介意。,"アイテムは自由に手に取ってね。
知りたいことがあれば遠慮せず
ボクをクリックして。","원하는 건 뭐든지 집어보세요. 정보를 원하신다면, 주저하지 마시고 저를 클릭해주세요.",想要什麼儘管帶走。點我可以查看提示，儘管點，我不介意。,"Prenez ce que vous voulez. Et n'hésitez pas à me cliquer dessus pour obtenir des infos, ça fait plaisir de se savoir utile.","Просто берите все, что хотите. И не стесняйтесь кликать на меня для получения советов, мне это нравится.","Pode pegar o que quiser. E não esqueça de clicar em mim para receber informações, eu gosto da sensação.","Llévate lo que más te guste. ¡Y no dudes en hacer clic en mí para que te dé más información, estoy acostumbrado!"
HELLO1,This is my shop! Everything here can be yours $p0.2- $h[for money].,Das ist mein Laden! Alles hier könnte dir gehören $p0.2- $h[für Gold].,这是我的小店！只要你$p0.2- $h[有钱]就行。,"ボクの店へようこそ！ $p0.2- $h[お金を払えば]
ここのモノはみんなキミのモノさ！",여기는 제 가게입니다! 여기 있는 모든 걸 마음껏 이용하세요! $p0.2- $h[유료지만].,這是我的小店！只要你$p0.2- $h[有錢]就能買到任何東西。,Voici ma boutique ! Tout ce qui se trouve ici peut vous appartenir $p0.2- $h[contre de l'argent].,"Это мой магазин! Все, что вы здесь видите, может стать вашим. Разумеется, $p0.2- $h[за деньги].",Esta é a minha loja! Tudo que tem aqui pode ser seu $p0.2- $h[por dinheiro].,¡Te doy la bienvenida a mi tienda! Puedes llevarte lo que quieras $p0.2- $h[a cambio de dinero].
