name,id,rarity,type,extraTypes,shop,price,staminaCost,minDam,maxDam,cd,accuracy,chance,chance2,shopChance,block,p1,p2,p3,p4,p5,material,canActivate,recipes,gateItem,tags,gain,use,remove,threshold,weight,p6,p7,p8,p9,p10,appropriated,demo,earliestRound,latestRound,requires,version,animation,physics,textEffect,class_override
Amulet of Agility,268,Rare,Accessory,,no,6,,,,,,,,,,100:speed,1:dur,25:refund,,,Jewelry,,,Amulet Unidentified,,Buff,,,,,,,,,,,no,,,,0.9.12,Jump,,,
Amulet of the Wild,269,Rare,Accessory,Nature,no,6,,,,5,,,,,,4:spikes,50:spikedam,,,,Jewelry,,,Amulet Unidentified,,Spikes,,,,,,,,,,,no,,,,0.9.12,Jump,,,
Amulet of Alchemy,270,Rare,Accessory,,no,6,,,,,,70,,,,3:buffs,2.5:delay,,,,Jewelry,,,Amulet Unidentified,,Buff,,,,,,,,,,,no,,,,0.9.12,Jump,,,
Amulet of Fortune,437,Rare,Accessory,,no,6,,,,5,,,,,,15:chance,2:buffs,,,,Jewelry,,,Amulet Unidentified,,Buff,,,,,,,,,,,no,,,,1.0.0,Jump,,,
Fanny Pack,26,Rare,Bag,,,3,,,,,,,,,,10,,,,,Leather,,,,,,,,,0.6,,,,,,,,,,,0.1.0,,,,
Coins,126,Rare,Accessory,,no,9,,,,,,,,,,,,,,,Jewelry,no,,,Transient,,,,,,,,,,,,,,,,0.4.1,,Dense,Gold,
Shovel,183,Rare,Melee Weapon,,no,8,1.7,5,8,2.4,95,40,,,,1,,,,,Metal,,Resistor>Robodog,,,Blind,,,,,,,,,,,,,,,0.6.0,ReverseStab,Dense,,
Burning Coal,207,Rare,Gem,Fire,no,2,,,,5,,12,,,12,6,1,7:coldresist,2,3,Stone,,,,,Heat,,,,,,,,,,,,,,,0.7.0,Jump,,,
Torch,208,Rare,Melee Weapon,,no,5,1,2,3,1.4,90,25,,,,1,,,,,Wood,,"Fire*>Burning Torch,Mana Potion>Magic Torch,Coil>Electric Torch",,,,,,,,,,,,,,,,,,0.7.0,Slash,,,
Shell Totem,276,Rare,Weapon,Holy,no,5,2,,,3.6,,,,,,70:healtht,8:heal,15:stamina,,,Wood,,,,,Empower,,,,,,,,,,,no,,,,0.9.12,Wave,,,
Shelly,374,Rare,Pet,"Holy,Nature",no,6,,,,13,,25:cleanse,,,,6:debuffs,40:heal,20:speed,,,Squishy,,Flame+Flame>Fire Shelly,,,,,,,,,,,,,,no,,,,0.9.28,VerySquishyJump,,,
Shepherds Crook,351,Rare,Accessory,,no,8,,,,,,35,50,,,2:dam,,,,,Wood,,,,,,,,,,,,,,,,no,,,,0.9.24,Wave,,,
Thorn Whip,27,Epic,Melee Weapon,Nature,,8,2.2,4,9,2.2,80,,,,,1,,,,,Squishy,,"Flame+Flame>Flame Whip,Forging Hammer*>Chain Whip,Heroic Potion>Thornbloom",,,Spikes,,,2,,,,,,,,,,,,0.1.0,Slash,,,
Hungry Blade,28,Epic,Melee Weapon,Vampiric,,7,1,3,6,1.6,90,,,,,1,1,1,,,Metal,,"Thorn Whip>Bloodthorne,Mana Orb>Manathirst,Snowball>Frostbite",,,Vampirism,Regeneration,,2,,,,,,,,,,,,0.1.0,Slash,,,
Leather Boots,34,Epic,Shoes,,,6,,,,,,,,,15,70:healtht,1:luck,1:empower,,,Leather,,"Forging Hammer*>Dragonskin Boots,Stone Skin Potion>Stone Shoes,Divine Potion>Winged Boots,Mana Crystal*>Arcane Boots",,,"Empower,Lucky",,,3,,,,,,,,,,,,0.1.0,SquishyJump,,,
Leather Helm,127,Epic,Helmet,,,7,,,,,,15,,,,25:damagereduction,3:dur,,,,Leather,,"Corrupted Crystal>Evil Cap,Stone Skin Potion>Stone Helm,Mana Crystal*>Cap of Brilliance",,,,,,2,,,,,,,,,,,,0.4.1,SquishyJump,,,
Pestilence Flask,36,Epic,Potion,,,7,,,,,,,,,,3,1,,,,Glass,,Fly Agaric>Strong Pestilence Flask,,,Poison,,,4,,,,,,,,,,,,0.1.0,,,Poison,
Stone Skin Potion,37,Epic,Potion,,,6,,,,,,,,,30,45,15,,,,Glass,,Stone+Stone>Strong Stone Skin Potion,,,,,,4,,,,,,,,,,,,0.1.0,,Dense,Stone,
Flute,40,Epic,Accessory,"Magic,Musical",,6,,,,4.7,,,,,14,2,2,10,,,Wood,,,,,Lucky,,,3,,,,,,,,,,,,0.1.0,Scale,,,
Mana Orb,41,Epic,Accessory,Magic,,6,,,,,,50,,,,1,35:manat,20:buffs,,,Glass,,,,,Buff,Mana,,5,,,,,,,,,,,,0.3.1,,BouncyDense,,
Corrupted Crystal,160,Epic,Gem,Dark,,7,,,,3.9,,,,,,30,50,7,6,,Jewelry,,,,,,,,3,,,,,,,,,,,,0.5.4,Jump,Dense,,
Oil Lamp,277,Epic,Accessory,Fire,,7,,,,3.4,,,,,,2:heat,1:dam,5:accuracy,,,Metal,,,,,Heat,,,3,,,,,,,,no,,,,0.9.12,Jump,,,
Unstable Recombobulator,280,Epic,Accessory,"Dark,Magic",,6,,,,4,,,,,,1:bonusvalue,,,,,Metal,,,,,Buff,,Debuff,,,,,,,,,no,,,,0.9.16,Spin,,Shaky,
Snowman,353,Epic,Accessory,Ice,,8,,,,,,,,,,,,,,,Squishy,,,,Transient,,,,,,,,,,,,no,,,,0.9.24,,,,
Snowball,352,Epic,Accessory,Ice,no,4,,,,,,,,,,2:cold,15:healthreduction,,,,Squishy,,,Snowman,,Cold,,,,,,,,,,,no,,,,0.9.24,Throw,Floaty,,
Stamina Sack,42,Epic,Bag,,,5,,,,,,,,,,,,,,,Leather,,,,,,,,,0.6,,,,,,,,,,,0.1.0,,,,
Hero Sword,29,Epic,Melee Weapon,,no,7,0.7,2,4,1.4,90,,,,,1:dam,,,,,Metal,,"Whetstone+Whetstone>Hero Longsword,Gloves of Haste+Gloves of Haste>Falcon Blade,Flame+Flame>Burning Sword,Cog>Wrench,Garlic>Onion Cutter",,,,,,,,,,,,,,,,,,0.1.0,Slash,Dense,Steel,
Magic Staff,32,Epic,Ranged Weapon,Magic,no,10,1,6,8,1.8,90,,,,,3:manat,6:dam_temp,2:dam_perm,,,Wood,,"Acorn Collar>Critwood Staff,Demonic Flask>Staff of Unhealing,Draconic Orb>Staff of Fire,Pestilence Flask>Serpent Staff,Spiked Collar>Spiked Staff,Cupcake>Cupcake Staff,Battery>Lightning Staff",,Staff,,Mana,,,,,,,,,,,,,,0.3.1,Wave,,,
Strong Health Potion,35,Epic,Potion,,no,8,,,,,,,,,,50,24:heal,4:cleanse,3:regen,,Glass,,Blood Amulet*>Vampiric Potion,,,Regeneration,,,,,,,,,,,,,,,0.1.0,,,,
Poison Dagger,30,Epic,Melee Weapon,,no,11,0,5,7,1.9,95,,,,,2,,,,,Metal,,,,,Poison,,,,,,,,,,,,,,,0.1.0,Stab,,Poison,
Claws of Attack,118,Epic,Melee Weapon,,no,8,0.5,4,5,1.6,90,,,,,5:speedperspike,1000:maxspeed,4:attackst,,,Leather,,,,,Empower,,,,,,,,,,,,,,,0.3.9,SquishyJump,,,
Burning Torch,209,Epic,Melee Weapon,Fire,no,5,1,2,3,1.4,90,30,,,,2:heat,1:damagegain,,,,Wood,,"Coil>Electric Torch,Mana Potion>Magic Torch",,,Heat,,,,,,,,,,,,,,,0.7.0,Slash,,,
Platin Customer Card,216,Epic,Accessory,,no,8,,,,,,,,25:trade,,30:uniques,2,,,,Jewelry,,,,,,,,,,,,,,,,,,,,0.7.2,VerySquishyJump,,,
Mana Potion,172,Epic,Potion,Magic,no,6,,,,,,,,,,50:healtht,4:mana,18:maxhealth,,,Glass,,,,,Mana,,,,,,,,,,,,,,,0.6.3,,,,
Sandbag,391,Epic,Accessory,,no,5,,,,,,,,,,25:damreduction,7:dur,3:blind,,,Sand,,,,,Blind,,,,,,,,,,,no,,,,0.9.37,Struggle,Sand,,
Box of Prosperity,278,Epic,Bag,,no,5,,,,,,,,,,2:insideitems,,,,,Wood,,,,,,,,,,,,,,,,no,,,,0.9.12,,,,
Holdall,372,Epic,Bag,,no,7,,,,,,,,,8,,,,,,Leather,,,,,,,,,,,,,,,,no,,,,0.9.28,,,,
Rib Saw Blade,43,Legendary,Melee Weapon,,,7,1.5,8,10,1.8,90,,,,,1:dam,0.5:bonusdam,,,,Metal,,"Whetstone>Katana,Coil>Chainsaw",,,,,,1,,,,,,,,,,,,0.1.0,Slash,Dense,,
Holy Armor,58,Legendary,Armor,Holy,,12,,,,2.2,,,,,65,2:regen,2:cleanse,,,,Metal,,"Flame+Flame>Sun Armor,Mana Orb>Moon Armor,Corrupted Crystal>Corrupted Armor,Mana Crystal*>Magitecc Armor,Coins>Gold Armor,Lucky Cat>Gold Armor",,,Regeneration,,Poison,1,,,,,,,,,,,,0.1.0,Jump,Dense,,
Shield of Valor,51,Legendary,Shield,Holy,,11,,,,,,30,,,,14:damblock,0.7:stamina,30:block,,,Metal,,"Mana Orb>Moon Shield,Flame+Flame>Sun Shield",,,,,,2,,,,,,,,,,,,0.2.0,Block,Dense,,
Heroic Potion,59,Legendary,Potion,,,6,,,,,,,,,,2,1,1,,,Glass,,Banana>Strong Heroic Potion,,,Empower,,,4,,,,,,,,,,,,0.1.0,,,,
Pineapple,60,Legendary,Food,Nature,,6,,,,2.9,,,,,,4:heal,,,,,Squishy,,,,,Spikes,,,,,,,,,,,,,,,0.1.0,VerySquishyJump,,,
Blood Amulet,48,Legendary,Accessory,Vampiric,,8,,,,,,,,,,2:vampirism,20:maxhealth,,,,Jewelry,,Cog>Mecha Bat,,,Vampirism,,,5,,,,,,,,,,,,0.1.1,SquishyJump,,,
Ruby Egg,62,Legendary,Pet,Fire,,10,,,,,,,,,,3:reflect,2:hatch,4:heat,,,Stone,,,,,Heat,,,,,,,,,,,,,,,0.1.0,SquishyJump,Dense,,
Jynx torquilla,81,Legendary,Pet,"Nature,Musical",,6,,,,3,,,,,,5:speed,10:max,1:luck,,,Bird,,"Rainbow Orb>Paradise Birb,Demonic Flask>Crow",,,,,Lucky,3,,,,,,,,,,,,0.3.4,VerySquishyJump,Floaty,,
Vampiric Potion,174,Legendary,Potion,Vampiric,no,8,,,,,,,,,,80:healtht,3:vampirism,15:dam,100:lifesteal,,Glass,,,,Lifesteal,Vampirism,,,,,,,,,,,no,,,,0.9.0,,,,
Lucky Cat,273,Legendary,Accessory,Holy,,10,,,,,,15,,,,3:sales,20:gold1,40:gold2,15:speed,,Stone,no,,,,,,,2,,,,,,,,no,,,,0.9.12,,,,
Potion Belt,85,Legendary,Bag,,,5,,,,,,,,,,10:cleanse,,,,,Leather,,,,,Buff,,Debuff,,0.6,,,,,,,,,,,0.3.6,,,,
Bloody Dagger,45,Legendary,Melee Weapon,Vampiric,no,12,0,5,7,2.1,95,,,,,1:vampirism,5:max,4:heal,,,Metal,,,,,Vampirism,,,,,,,,,,,,,,,0.3.0,Stab,,,
Strong Heroic Potion,55,Legendary,Potion,,no,9,,,,,,,,,,4,1,1,,,Glass,,,,,Empower,,,,,,,,,,,,,,,0.3.1,,,,
Strong Stone Skin Potion,46,Legendary,Potion,,no,8,,,,,,,,,35,45:blockt,15:healtht,2:spikes,4:dur,,Glass,,,,,Spikes,,,,,,,,,,,,,,,0.1.0,,Dense,Stone,
Vampiric Armor,50,Legendary,Armor,Vampiric,no,15,,,,2.8,,,,,100,50:healtht,5:vampirism,10,20,,Leather,,,,,Vampirism,,,,,,,,,,,,,,,0.2.0,SquishyJump,,,
Blood Goobert,54,Legendary,Pet,Vampiric,no,14,,,,,,,,,,6:activations,10:dam,5:vampirism,100:lifesteal,,Slime,,,,Lifesteal,Vampirism,,,,,,,,,,,,,,,0.3.0,Squish,Slime,,
Steel Goobert,52,Legendary,Pet,,no,13,,,,,,,,,16,6:activations,2:dam,,,,Metal,,,,,,,,,,,,,,,,,,,,0.3.0,Squish,Slime,Steel,
Eggscalibur,125,Legendary,Melee Weapon,"Holy, Magic",no,10,1.3,8,9,1.6,90,,,,,1,11:manacost,,,,Metal,,,,,,Mana,,,,,,,,,,,,,,0.4.0,Bonk,Dense,Gold,
Manathirst,69,Legendary,Melee Weapon,"Magic, Vampiric",no,13,0.5,5,7,1.4,200,,,,,30:manat,10:dam,100:lifesteal,2:mana,,Metal,,,,Lifesteal,Mana,,,,,,,,,,,,,,,0.3.2,Slash,,,
Spectral Dagger,70,Legendary,Melee Weapon,Magic,no,4,0,2,3,2.5,95,,,,,1,6:dam,,,,Metal,,,,,,Mana,,,,,,,,,,,,,,0.3.2,Stab,,,
Hero Longsword,82,Legendary,Melee Weapon,,no,15,1,8,10,1.6,90,,,,,3:dam,,,,,Metal,,"Falcon Blade>Crossblades,Flame+Flame>Burning Blade",,,,,,,,,,,,,,,,,,0.3.5,Slash,,Steel,
Falcon Blade,83,Legendary,Melee Weapon,,no,15,1,4,5,1.7,100,,,,,40:speed,,,,,Metal,,,,,,,,,,,,,,,,,,,,0.3.5,DoubleSlash,,Steel,
Pandamonium,161,Legendary,Melee Weapon,Dark,no,11,0.7,9,11,2,90,4:crit,,,,1,,,,,Metal,,,,,Poison,,,,,,,,,,,,,,,0.5.4,Bonk,Dense,,
Evil Cap,206,Legendary,Helmet,Dark,no,14,,,,,,15,,,,25:damagereduction,5:dur,30:healreduction,,,Leather,,,,,,,,,,,,,,,,,,,,0.6.4,SquishyJump,,,
Magic Torch,215,Legendary,Melee Weapon,"Magic, Fire",no,11,0.7,3,6,1.4,200,,,,,1,1,1,,,Metal,,,,,,Mana,,,,,,,,,,,,,,0.7.2,Slash,,,
Strong Mana Potion,173,Legendary,Potion,Magic,no,7,,,,,,,,,,50,9:mana,25:maxhealth,,,Glass,,,,,Mana,,,,,,,,,,,no,,,,0.9.0,,,,
Stone Armor,237,Legendary,Armor,,no,13,,,,4,,,,,120,1:spikes,2:empower,50:healtht,20:staminacost,40:blockperhealth,Stone,,,,,,,Spikes,,,,,,,,,no,,,,0.9.0,Jump,Dense,Stone,
Stone Helm,238,Legendary,Helmet,,no,13,,,,,,30:crit,40:stun,,35,25:damagereduction,5:dur,,,,Stone,,,,,,,,,,,,,,,,,,,,0.8.4,Jump,Dense,Stone,
Stone Gloves,239,Legendary,Gloves,,no,10,,,,,,,,,7,20:dambonus,10:speedreduction,,,,Stone,,,,,,,,,,,,,,,,no,,,,0.9.0,Jump,Dense,Stone,
Serpent Staff,258,Legendary,Ranged Weapon,Magic,no,17,1,8,10,1.8,90,40:duplicate,,,,4:mana,2:dam,1:poison,4:damforpoison,30:poisonpierce,Metal,,,,Staff,Poison,Mana,,,,,,,,,,,,,,0.9.8,Wave,,Poison,
Stone Shoes,354,Legendary,Shoes,,no,12,,,,,,,,,45,70:healtht,1:luck,1:empower,35:damreduction,7:dur,Stone,,,,,"Empower,Lucky",,,,,,,,,,,no,,,,0.9.24,Jump,Dense,Stone,
Poison Spear,373,Legendary,Melee Weapon,,no,13,1,9,14,1.5,85,,,,,6:blockremoval,3:poison,2:poison2,,,Metal,,,,,Poison,,,,,,,,,,,no,,,,0.9.28,Stab,,Poison,
Snow Stick,366,Legendary,Melee Weapon,Ice,no,8,1.2,6,9,2.1,95,,,,,3:cold,2:cold2,,,,Wood,,,,,Cold,,,,,,,,,,,no,,,,0.9.24,Slash,,,
Fanfare,61,Godly,Accessory,"Magic,Musical",,7,,,,3,,,,,,1,3,2,1,10,Metal,,Charge Splitter>Bazooka,,,"Mana,Empower",,Mana,2,,,,,,,,,,,,0.1.0,Scale,BouncyDense,,
Lightsaber,63,Godly,Melee Weapon,Holy,,9,1,8,12,1.5,95,,,,,3:regent,1:dam_blind,8:blind,6:dur_blind,,Metal,,Corrupted Crystal>Darksaber,,,Blind,"Regeneration,Spikes",,1,,,,,,,,,,,,0.1.0,Slash,,,
Protective Purse,66,Godly,Bag,,,2,,,,,,,,,15,,,,,,Leather,,,,,,,,,0.6,,,,,,,,,,,0.1.0,,,,
Fancy Fencing Rapier,71,Godly,Melee Weapon,,,12,0.8,10,16,1.4,60,,,,,3:luckt,3:dam,3:luck,,,Metal,,,,,Lucky,Lucky,,1,,,,,,,,,,,,0.3.2,Stab,,,
Djinn Lamp,73,Godly,Accessory,Magic,,11,,,,1.6,,,,,,7,27,27,,,Metal,,,,,"Lucky,Spikes,Mana","Lucky,Spikes,Mana,Block",,,,,,,,,,,,,,0.3.3,VerySquishyJump,BouncyDense,,
Greatsword,128,Godly,Melee Weapon,,,14,5,40,50,5,90,,,,,5:empowert,2:stamina,2:cd,,,Metal,,"Forging Hammer*>Busted Blade,Flame+Flame+Flame+Flame>Molten Greatsword",,,,,,1,,,,,,,,,,,,0.4.2,Chop,Dense,Steel,
Crown,217,Godly,Helmet,"Holy,Magic",,12,,,,2.4,,,,,,10:mana,2:dur_invu,5:heal,,,Metal,,Box of Riches>King Crown,,,,Mana,Blind,3,,,,,,,,,,,,0.3.1,SquishyJump,,,
Wolpertinger,231,Godly,Pet,Nature,,12,,,,5,,,,,,0.7,3,15,,,,,,,,Buff,,,3,,,,,,,,,,,,0.8.0,VerySquishyJump,,,
Heart Container,232,Godly,Accessory,Holy,,11,,,,3,,,,,,1:regen,7:regent,100:maxhealth,2:empower,15:healamp,Jewelry,,"Corrupted Crystal>Heart of Darkness,Stone+Stone+Stone+Stone>Stone Golem",,,"Regeneration,Empower",Regeneration,,3,,,,,,,,,,,,0.8.1,VerySquishyJump,,,
Divine Potion,176,Godly,Potion,Holy,,7,,,,,,,,,,10:debufft,10:cleanses,,,,Glass,,,,,,,Debuff,,,,,,,,,no,,,,0.9.0,,,,
Rainbow Orb,272,Godly,Accessory,"Magic,Vampiric,Holy,Dark",,14,,,,8,,,,,,1:buffs,1:vampirism,2:mana,4:healamp,1:debuffs,Jewelry,,,,,"Buff,Debuff",,,2,,,,,,,,no,,,,0.9.12,SquishyJump,BouncyDense,Rainbow,
Bloodthorne,47,Godly,Melee Weapon,"Vampiric, Nature",no,15,1.5,4,8,1.6,90,,,,,1,1,1,,,Metal,,,,,"Vampirism,Spikes",Regeneration,,,,,,,,,,,,,,0.1.0,Slash,,,
Crossblades,84,Godly,Melee Weapon,,no,30,1,8,11,1.4,100,,,,,10:dambuff,65:speedbuff,1:damincrease,4:speedincrease,,Metal,,,,,,,,,,,,,,,,,,,,0.5.3,Slash,Dense,Steel,
Ruby Whelp,64,Godly,Ranged Weapon,"Pet,Fire,Effect",no,10,0,5,10,2.1,90,,,,,5:heat,3:reflect,,,,Dragon,,"Holo Fire Lizard>Ruby Chonk,Draconic Orb>Obsidian Dragon,White-Eyes Blue Dragon>Ice Dragon,Wisp>Forest Dragon,Whetstone3>Steel Dragon,Cupcake>Cupcake Dragon,Battery>Thunder Drake",Ruby Egg,Dragon,Heat,,,,,,,,,,,,,,,0.1.0,SquishyJump,Dense,,
Vampiric Gloves,49,Godly,Gloves,Vampiric,no,12,,,,4,,,,,,6:vampirism,35,,,,Leather,,,,,Vampirism,,,,,,,,,,,,,,,0.1.1,SquishyJump,,,
Darksaber,72,Godly,Melee Weapon,Dark,no,16,1,12,17,1.5,95,,,,,0.5:damperdebuff,1:mana,1:blind,,,Metal,,,,,Blind,Mana,,,,,,,,,,,,,,0.3.3,Slash,,,
Light Goobert,53,Godly,Pet,Holy,no,15,,,,,,,,,,6:activations,25:heal,7:blind,3:dur_blind,,Slime,,,,,Blind,,,,,,,,,,,,,,,0.3.0,Squish,Slime,,
Holy Spear,218,Godly,Melee Weapon,"Holy,Magic",no,18,0.4,10,15,1.8,200,,,,,10:blockremoval,10:manat,100:speed,3:dur_invu,,Metal,,,,,,Mana,"Debuff,Block",,,,,,,,,,,,,0.7.3,Stab,,,
Moon Shield,227,Godly,Shield,"Holy,Magic",no,17,,,,,,30,,,,14:damblock,0.7,30,12,,Metal,,,,,Mana,,,,,,,,,,,,,,,0.7.5,Block,Dense,,
Corrupted Armor,229,Godly,Armor,Dark,no,19,,,,2.4,,8,,,100,2,,,,,Metal,,,,,Debuff,,,,,,,,,,,,,,,0.7.6,Jump,Dense,,
Moon Armor,226,Godly,Armor,"Holy, Magic",no,18,,,,2.6,,,,,50,20,3:mana,2:reflect,,,Metal,,,,,Mana,,,,,,,,,,,no,,,,0.9.0,Jump,Dense,,
