key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:10:Shoes>,Shoes,Schuhe,鞋子,靴,신발,鞋子,Chaussures,Обувь,Sapatos,Zapatos
<!MissingKey:11:Affected>,Affected,Markiert,联动,スター付与,적용됨,連動,Affecté(e),Связь,Afetado,En efecto
<!MissingKey:12:Cryomancer>,Cryomancer,Kryomane,冰霜法师,クライオマンサー,냉기술사,冰霜法師,Cryomancien,Криомант,Criomante,Hielomante
<!MissingKey:13:Venomancer>,Venomancer,Schlangenbeschwörer,剧毒术士,ヴェノムマンサー,독술사,劇毒術士,Expert en poison,Мастер ядов,Toximante,Venomante
,,,,,,,,,,
<!MissingKey:15:All items trigger $h[2%] slower.>,All items trigger $h[2%] slower.,Alle Gegenstände aktivieren $h[2%] langsamer.,每层使所有物品触发慢$h[2%]。,1スタックにつき全アイテムの使用速度が$h[2%]下がる,모든 아이템이 $h[2%] 느리게 발동합니다.,每層使所有物品觸發速度減慢$h[2%]。,Tous les objets se déclenchent $h[2 %] moins vite.,Скорость срабатывания предметов снижается на $h[2%].,Todos os itens ativam $h[2%] mais devagar.,Todos los objetos se activan un $h[2 %] más despacio.
<!MissingKey:16:Blind>,Blind,Blindheit,致盲,目くらまし,실명,致盲,Imprécision,Слепота,Cegueira,Ceguera
<!MissingKey:17:Deals $h[1] damage every $h[2s].>,Deals $h[1] damage every $h[2s].,Verursacht $h[1] Schaden alle $h[2s].,每$h[2]秒，每层造成$h[1]点伤害。,$h[2秒]ごとに、1スタックにつき$h[1]ダメージを与える,"$h[2]초마다, 피해를 $h[1] 가합니다.",每$h[2]秒，每層造成$h[1]點傷害。,Inflige $h[1] de dégâts toutes les $h[2 s].,Раз в $h[2 сек.] наносит $h[1] ед. урона.,Causa $h[1] de dano a cada $h[2 s].,Inflige $h[1] de daño cada $h[2 s].
<!MissingKey:18:Alchemist>,Alchemist,Alchimist,炼金术士,アルケミスト,연금술사,煉金術士,Alchimiste,Алхимик,Alquimista,Alquimista
<!MissingKey:19:Pathfinder>,Pathfinder,Pfadfinder,开拓者,パスファインダー,길잡이,尋路者,Éclaireur,Следопыт,Localizadora,Pionera
<!MissingKey:20:Skill>,Skill,Skill,技能,スキル,스킬,技能,Compétence,Способность,Habilidade,Habilidad
RARITY_Godly,Godly,Göttlich,神级,ゴッド,신화,神級,Divin,Божественный,Divino,Glorioso
<!MissingKey:22:Potion>,Potion,Trank,魔药,ポーション,포션,魔藥,Potion,Зелье,Poção,Poción
<!MissingKey:23:Weapon>,Weapon,Waffe,武器,武器,무기,武器,Arme,Оружие,Arma,Arma
<!MissingKey:24:Treasure>,Treasure,Schatz,宝藏,掘出物,보물,寶藏,Trésor,Сокровище,Tesouro,Tesoro
"<!MissingKey:25:It is a requirement for any Berserker to be rough, tough and angry. During the feared Battle Rage, Berserkers become a force of nature. They like punching metal with a hammer. {items}>","It is a requirement for any Berserker to be rough, tough and angry. During the feared Battle Rage, Berserkers become a force of nature. They like punching metal with a hammer. {items}",Für einen Berserker ist eine gewisse aggressive Grobschlächtigkeit unabdingbar. In ihrem berüchtigten Kampfrausch werden sie zur Naturgewalt. In ihrer Freizeit schlagen sie gern Metall mit einem Hammer und nennen das „Schmieden“. {items},身为狂战士必须粗暴、强悍和充满愤怒。在令敌人畏惧的狂战士之怒期间，将变为毁灭的化身。他们喜欢用铁锤敲打金属。{items},粗暴で、タフで、怒りっぽいことがバーサーカーの条件だ。恐るべきバーサクを発動中のバーサーカーは、向かうところ敵なしになる。ハンマーで金属を鍛えるのも大好き。{items},"버서커에게 필요한 것은 사나움과 터프함, 그리고 분노입니다. 무시무시한 전투 격노 동안, 버서커는 자연의 힘 그 자체가 됩니다. 망치로 금속을 치는 것을 좋아합니다. {items}",身為狂戰士必須粗暴、強悍和充滿憤怒。在令敵人畏懼的戰鬥狂怒生效期間，狂戰士成為災難一般的化身。他們喜歡用鐵錘敲打金屬。{items},"Être un Barbare exige un certain degré de rusticité, de ténacité et de hargne. Quand ils entrent en redoutable mode Rage de combat, les Barbares deviennent de véritables forces de la nature. Ils apprécient particulièrement les coups de marteau sur le métal. {items}","Любой берсерк рожден быть грубым, жестким и злым. В состоянии ярости берсерки становятся воплощением катастрофы. Любят звон молота по металлу. {items}","Ser forte, resistente e furiosa são requisitos para toda Lutadora. Durante a temida Fúria de Combate, as Lutadoras se tornam uma força da natureza. Elas gostam de martelar metal. {items}","Una guerrera tiene que ser fuerte y estar siempre enfadada. Durante la Rabia de batalla, las guerreras se vuelven imparables. Les gusta destrozar el metal a martillazos. {items}"
<!MissingKey:26:Nature>,Nature,Natur,自然,自然,자연,自然,Nature,Природа,Natural,Natural
<!MissingKey:27:Unhealing>,Unhealing,Unheilung,不治,アンヒーリング,언힐링,不治,Contre-guérison,Анти-лечение,Descura,Anticuración
<!MissingKey:28:Helmet>,Helmet,Helm,头盔,兜,헬멧,頭盔,Casque,Шлем,Elmo,Casco
,,,,,,,,,,
Pyromancer_NAME,Pyromancer,Pyromane,火焰魔导士,パイロマンサー,파이로맨서,火焰術士,Pyromancien,Пиромант,Piromante,Piromante
<!MissingKey:31:Vampiress>,Vampiress,Vampirella,吸血鬼夫人,ヴァンパイア,흡혈귀,女吸血鬼,Vampire,Вампиресса,Vampira,Vampiresa
Gold_NAME,Gold,Gold,金币,ゴールド,골드,金幣,Or,Золото,Ouro,Oro
,,,,,,,,,,
<!MissingKey:34:Your health will increase every round (next round: {bonusHealth}).>,Your health will increase every round (next round: {bonusHealth}).,Dein Leben erhöht sich mit jeder Runde (nächste Runde: {bonusHealth}).,每回合你的最大生命值都会增加（下回合：{bonusHealth}）。,体力は1ラウンドごとに増えていく（次ラウンドの増加量：{bonusHealth}）,내 체력은 매 라운드마다 증가합니다 (다음 라운드: {bonusHealth}).,每回合你的最大生命值都會增加（下回合：{bonusHealth}點）。,Vos PV augmentent à chaque tour (prochain tour : {bonusHealth}).,Здоровье героя будет повышаться с каждым раундом (следующий раунд: {bonusHealth}).,Sua vida aumentará a cada rodada (próxima rodada: {bonusHealth}).,Tus PS aumentarán con cada ronda (siguiente ronda: {bonusHealth}).
<!MissingKey:35:Fighter>,Fighter,Krieger,战士,ファイター,투사,戰士,Combattant,Боец,Combatente,Luchadora
<!MissingKey:36:Holy>,Holy,Heilig,神圣,神聖,신성,神聖,Saint,Священный,Sagrado,Sagrado
Stamina_NAME,Stamina,Ausdauer,耐力,スタミナ,스태미나,耐力,Endurance,Энергия,Vigor,Resistencia
<!MissingKey:38:Deals $h[1] damage when taking >,"Deals $h[1] damage when taking 
 $melee-damage (up to $h[100%] of the damage). ","Verursacht $h[1] Schaden, wenn du $melee-Schaden nimmst.",受到$melee伤害时，每层造成$h[1]点伤害。(最高造成$h[100%]伤害的量),$melee ダメージを受けた時、1スタックにつき$h[1]ダメージを与える（受けたダメージの$h[100%]が上限）,"$melee 피해를 입을 시, 피해를 $h[1] 가합니다 (피해의 최대 $h[100%]까지).",受到$h[近戰武器]攻擊時，每層造成$h[1]點傷害。（最高造成100%傷害的量）,"Inflige $h[1] de dégâts en subissant 
 de dégâts $melee (jusqu'à $h[100 %] des dégâts).",Наносят $h[1] ед. урона при получении героем $melee-урона (макс. до $h[100%] от урона).,"Causa $h[1] de dano ao receber 
 Dano de $melee (até $h[100%] do dano).","Inflige $h[1] de daño al recibir 
 daño $melee (hasta un máximo del $h[100 %] del daño)."
<!MissingKey:39:Ranged>,Ranged,Fernkampf,远程,遠距離,원거리,遠程,À distance,Дальний,Longo Alcance,A distancia
<!MissingKey:40:Ashbringer>,Ashbringer,Aschbringer,灰烬使者,アッシュブリンガー,재부르미,灰燼使者,Porteur de cendres,Испепелитель,Crematória,Pirómana
<!MissingKey:41:Consumable>,Consumable,Konsumgegenstand,消耗品,消費アイテム,소비,消耗品,Consommable,Расходуемое,Consumível,Consumible
<!MissingKey:42:Slots marked with $empty will become $affected when the effect can be applied.>,Slots marked with $empty will become $affected when the effect can be applied.,"Felder, die mit $empty markiert sind werden zu $affected, wenn der Effekt dort angewandt werden kann.",当一个联动效果可用时，$empty将会变成$affected。,アイテムの効果が適用できる場合、$emptyのスロットは$affectedになる,$empty로 표시되는 슬롯은 효과를 적용할 수 있을 시 $affected가 됩니다.,在可施加效果時，帶有$empty的欄位會變成$affected。,Les emplacements marqués d'une $empty deviennent $affected lorsque l'effet peut être appliqué.,"Слоты $empty станут слотами $affected, если в текущей ситуации эффект может быть активирован.",Os espaços marcados com $empty tornam-se $affected quando o efeito é aplicável.,Los espacios marcados con $empty se convertirán en $affected cuando se pueda aplicar el efecto.
<!MissingKey:43:The lucky Ranger is specialized in dealing critical damage using weapons. {items}>,The lucky Ranger is specialized in dealing critical damage using weapons. {items},"Einem Waldläufer ist das Glück stets hold. In diesem Fall, das Glück kritischen Schaden zu verursachen! {items}",幸运的游侠专注于用武器造成暴击伤害。{items},幸運に恵まれたレンジャー。武器でクリティカルを出すのが得意。 {items},운이 좋은 레인저는 무기를 사용해 치명적인 피해를 입히는 것에 특화되어 있습니다. {items},幸運的遊俠最擅長使用武器造成暴擊傷害。{items},"La spécialité des Rôdeurs, outre leur chance légendaire, consiste à infliger des dégâts critiques à l'aide d'armes. {items}",Лучник полагается на удачу и специализируется на нанесении критического урона с помощью оружия. {items},A Arqueira sortuda é especialista em causar dano crítico com armas. {items},La exploradora se especializa en infligir daño crítico con sus armas. {items}
<!MissingKey:44:After being consumed also applies the effect of the $affected $h[Potion] above without consuming it.>,After being consumed also applies the effect of the $affected $h[Potion] above without consuming it.,"Erhält beim Austrinken zusätzlich den Effekt des $affected $h[Trank] darüber, ohne ihn aufzubrauchen.",使用时，同时施加上方$affected的$h[魔药]效果，但并不会将其消耗掉。,消費した後、$affectedにある上の$h[ポーション]を、本体を消費せずに効果だけ発動する,"포션을 소모 시, $affected에 위치한 상단의 $h[포션]의 효과를 포션을 소모하지 않고 적용합니다.",消耗後，同時施加$affected魔藥的效果，但並不會將其消耗掉。,"Une fois la potion consommée, l'effet de la $h[potion] $affected s'applique également sans que la potion n'ait été consommée.","После использования также активирует эффект $affected $h[зелья] сверху, не расходуя его.","Após ser consumida, aplica também o efeito da $h[Poção] $affected acima sem consumi-la.","Cuando se utiliza, aplica el efecto de la $affected $h[poción] superior sin consumirla."
<!MissingKey:45:Firebender>,Firebender,Feuerbändiger,火宗,ファイアベンダー,화염,火宗,Maître du feu,Огненный маг,Mestre do Fogo,Maestra del fuego
RARITY_Rare,Rare,Selten,罕见,レア,희귀,罕見,Rare,Редкий,Raro,Raro
<!MissingKey:47:Scalewarden>,Scalewarden,Drachenwächter,龙巢守卫,スケイルウォーデン,비늘관리자,龍巢守衛,Garde draconien,Страж драконов,Guardescama,Draconiana
<!MissingKey:48:Absorbs $h[1] damage.>,Absorbs $h[1] damage.,Absorbiert $h[1] Schaden.,每点吸收$h[1]点伤害。,1スタックにつき$h[1]ダメージを相殺する,피해를 $h[1] 흡수합니다.,每層吸收$h[1]點傷害。,Absorbe $h[1] de dégâts.,Поглощает $h[1] ед. урона.,Absorve $h[1] de dano.,Absorbe $h[1] de daño.
<!MissingKey:49:Reflect>,Reflect,Reflektieren,反弹,反射,반사,反彈,Renvoi,Отражение,Reflexão,Devuelto
<!MissingKey:50:Resource used by magic items.>,Resource used by magic items.,"Eine Ressource, die von magischen Gegenständen genutzt wird.",魔法物品的消耗物。,魔法アイテムの使用に必要,마법 아이템이 사용하는 자원입니다.,魔法物品的消耗資源。,Ressource utilisée par les objets magiques.,Необходима для использования магических предметов.,Recurso gasto pelos itens mágicos.,Recurso usado por los objetos mágicos.
<!MissingKey:51:Heals for $h[1] every $h[2s].>,Heals for $h[1] every $h[2s].,Heilt um $h[1] alle $h[2s].,每$h[2]秒，每层恢复$h[1]点生命值。,$h[2]秒ごとに、1スタックにつき体力を$h[1]回復する,"$h[2]초마다, 체력을 $h[1] 회복합니다.",每$h[2]秒，每層恢復$h[1]點生命值。,Guérit $h[1] de PV toutes les $h[2 s].,Раз в $h[2 сек.] восстанавливает $h[1] ед. здоровья.,Restaura $h[1] de vida a cada $h[2 s].,Recupera $h[1] PS cada $h[2 s].
<!MissingKey:52:Pet>,Pet,Gefährte,宠物,ペット,펫,寵物,Familier,Питомец,Animal,Mascota
<!MissingKey:53:Hexblade>,Hexblade,Fluchklinge,魔剑士,ヘキサブレード,마검사,魔劍士,Lame maudite,Рассекатель,Ritualista,Hechicera
<!MissingKey:54:On reveal: Starts revealing the $affected Playing card. Revealing this card takes {cd}s.>,On reveal: Starts revealing the $affected Playing card. Revealing this card takes {cd}s.,"Spielkarte aufgedeckt: Beginne, die $affected Spielkarte aufzudecken. Das Aufdecken dieser Karte dauert {cd}s.",翻开时：开始翻开$affected的卡牌。此卡会在{cd}s后翻开。,めくる時：$affectedにあるゲームカードをめくりはじめる。このカードをめくるのにかかる時間：{cd}秒,공개 시: $affected에 위치한 플레잉 카드를 공개합니다. 카드의 공개에는 {cd}초가 소요됩니다.,翻開時：開始翻開$affected的卡牌。翻開此卡需要{cd}秒的時間。,Par tirage : commence à découvrir la carte à jouer $affected. La découverte de cette carte prend {cd} s.,При раскрытии: начинает раскрывать $affected карту. Раскрытие следующей карты занимает {cd} сек.,Ao revelar: começa a revelar a Carta $affected. Revelar esta carta leva {cd} s.,Al revelarse: Empieza revelando la carta de juego $affected. Se tarda {cd} s en revelar esta carta.
,,,,,,,,,,
<!MissingKey:56:Unique>,Unique,Einzigartig,特别,ユニーク,유니크,獨特,Unique,Уникальный,Único,Único
<!MissingKey:57:Can be placed in backpack or in gemstone sockets.>,Can be placed in backpack or in gemstone sockets.,Kann im Rucksack oder in einem Sockel platziert werden.,可以放置在背包或宝石槽中。,バックパックに配置または宝石ソケットに装着できる,배낭이나 보석 소켓에 배치할 수 있습니다.,可以放置在背包或寶石槽中。,À placer dans un sac à dos ou dans un emplacement à pierres précieuses.,Можно разместить в рюкзаке или на других предметах со слотом для самоцвета.,Pode ser colocada na mochila ou em Engastes de gemas.,Se puede colocar en la mochila o en las ranuras para gemas.
<!MissingKey:58:Vampiric>,Vampiric,Vampirisch,吸血,吸血,흡혈,吸血,Vampirique,Вампирический,Vampírico,Vampírico
Reaper_NAME,Reaper,Sensenfrau,收割者,リーパー,리퍼,死神,Nécromancien,Жнец,Ceifadora,Nigromante
<!MissingKey:60:Melee>,Melee,Nahkampf,近战,近接,근거리,近戰,Mêlée,Ближний,Curto Alcance,Cuerpo a cuerpo
<!MissingKey:61:Armor>,Armor,Rüstung,护甲,鎧,갑옷,護甲,Armure,Броня,Armadura,Armadura
<!MissingKey:62:Food>,Food,Essen,食物,食べ物,음식,食物,Nourriture,Еда,Alimento,Comida
<!MissingKey:63:Weapons have an associated stamina cost. You regenerate {staminaGain} stamina per second. You are currently using {staminaUsage} stamina per second.>,Weapons have an associated stamina cost. You regenerate {staminaGain} stamina per second. You are currently using {staminaUsage} stamina per second.,Waffen haben Ausdauerkosten. Du regenerierst {staminaGain} Ausdauer pro Sekunde. Im Moment nutzt du {staminaUsage} Ausdauer pro Sekunde.,每个武器都有相应的耐力消耗量。你每秒会恢复{staminaGain}点耐力。现在你每秒的耐力消耗量为{staminaUsage}。,武器は使用時にスタミナを消費する。スタミナは毎秒{staminaGain}回復する。現在のビルドでは毎秒{staminaUsage}スタミナを消費する,무기에는 각각 스태미나 비용이 존재합니다. 초당 스태미나를 {staminaGain} 회복합니다. 현재 스태미나를 초당 {staminaUsage} 사용 중입니다.,每把武器都有對應的耐力消耗量。你每秒會恢復{staminaGain}點耐力。現在你每秒的耐力消耗量為{staminaUsage}。,Chaque arme a un coût d'endurance qui lui est associé. Vous régénérez {staminaGain} d'endurance par seconde. Vous utilisez actuellement {staminaUsage} d'endurance par seconde.,Каждое оружие затрачивает определенное количество энергии. Герой восстанавливает {staminaGain} ед. энергии в секунду. Текущий расход энергии: {staminaUsage} ед. в секунду.,"As Armas têm um custo em vigor. Você recupera {staminaGain} de vigor por segundo. No momento, você está gastando {staminaUsage} de vigor por segundo.",Las armas tienen un coste de resistencia asociado. Generas {staminaGain} de resistencia por segundo. Ahora mismo estás usando {staminaUsage} de resistencia por segundo.
,,,,,,,,,,
<!MissingKey:65:Luck>,Luck,Glück,幸运,幸運,행운,幸運,Chance,Удача,Sorte,Suerte
<!MissingKey:66:Pauses all cooldowns.>,Pauses all cooldowns.,Pausiert alle Abklingzeiten.,暂停所有冷却。,全クールダウンを一時停止する,모든 재사용 대기 상태가 정지합니다.,被暈眩的單位無法行動。,Interrompt tous les temps de recharge.,Приостанавливает время перезарядки всех предметов и эффектов.,Pausa todas as recargas.,Pausa todas las recargas.
<!MissingKey:67:Heals for $h[1] when dealing $melee-damage (up to $h[100%] of the damage). >,Heals for $h[1] when dealing $melee-damage (up to $h[100%] of the damage). ,"Heilt um $h[1], wenn du $melee-Schaden verursachst.",当对敌人造成$melee伤害时，每层恢复$h[1]点生命值（最高恢复$h[100%]伤害的量）。,$melee ダメージを与えた時、1スタックにつき体力を$h[1]回復する（与えたダメージの$h[100%]が上限）,"$melee 피해를 가할 시, 체력을 $h[1] 회복합니다 (피해의 최대 $h[100%]까지).",使用$h[近戰武器]命中敵人時，每層恢復$h[1]點生命值（最高恢復100%傷害的的量）。,Guérit $h[1] de PV par cumul en infligeant des dégâts $melee (jusqu'à $h[100 %] des dégâts).,Восстанавливает $h[1] ед. здоровья при нанесении $melee-урона (макс. до $h[100%] от урона).,Restaura $h[1] de vida ao causar dano-$melee (até $h[100%] do dano).,Recupera $h[1] PS al infligir daño $melee (hasta un máximo del $h[100 %] del daño).
<!MissingKey:68:Bag>,Bag,Tasche,背包,バッグ,가방,背包,Sac,Сумка,Bolsa,Bolsa
,,,,,,,,,,
<!MissingKey:70:Weapon damage is reduced by $h[1] per stack.>,Weapon damage is reduced by $h[1] per stack.,,每层减少$h[1]点武器伤害。,1スタックにつき武器のダメージ$h[-1],무기 피해량이 $h[1] 감소합니다.,每層減少$h[1]點武器傷害。,Les dégâts de l'arme diminuent de $h[1] par cumul.,Урон оружия снижается на $h[1] ед. за каждый эффект «слабость».,O dano da arma diminui em $h[1] por acúmulo.,El daño por arma disminuye en $h[1] por acumulación.
<!MissingKey:71:The next debuff inflicts your opponent instead of you.>,The next debuff inflicts your opponent instead of you.,Der nächste Debuff wird auf deinen Gegner zurückgeworfen.,下一个施加到你的减益效果转移到对手。,次に受けるデバフが自分ではなく相手に付与される,다음에 부여되는 디버프가 상대에게 대신 부여됩니다.,下一個施加到你身上的減益效果轉移到對手身上。,Le malus suivant affecte votre adversaire à votre place.,Следующий негативный эффект будет отражен обратно на противника.,O próximo debuff inflige seu oponente em vez de você.,La siguiente desventaja se inflige a tu rival en vez de a ti.
<!MissingKey:72:Chieftain>,Chieftain,Häuptling,酋长,チーフテン,족장,酋長,Chef spirituel,Вождь,Cacica,Líder de clan
<!MissingKey:73:Class-specific items:>,Class-specific items:,Klassenspezifische Gegenstände:,职业专属物品：,クラス固有アイテム,직업 한정 아이템:,流派專屬物品：,Objets spécifiques de classe :,Предметы класса:,Itens exclusivos da classe:,Objetos de clase específica:
<!MissingKey:74:Triggers $h[10%] faster for each >,"Triggers $h[10%] faster for each 
 $affected Food of a different type (not {itemName}).",Aktiviert $h[10%] schneller pro $affected Essen von einer anderen Art.,每有一种$affected的食物，触发快$h[10%]。(不包括{itemName}),$affectedつきの別種の食べ物（{itemName}以外）1個につき使用速度が$h[10%]上がる,$affected에 위치한 다른 유형의 음식마다 $h[10%] 더 빠르게 발동합니다 ({itemName} 제외).,每有一種獨特的$affected食物，觸發速度加快$h[10%]。（不包括{itemName}）,Se déclenche $h[10 %] plus vite pour chaque Nourriture $affected d'un type différent (sauf {itemName}).,Срабатывает на $h[10%] чаще за каждый другой $affected предмет типа «еда» (не {itemName}).,Ativa-se $h[10%] mais rápido por cada Alimento $affected de outro tipo (exceto {itemName}).,Se activa un $h[10 %] más rápido con cada comida $affected de un tipo diferente (que no sea {itemName}).
<!MissingKey:75:Increases accuracy by $h[5%].>,Increases accuracy by $h[5%].,Erhöht die Genauigkeit um $h[5%].,每点增加$h[5%]命中率。,1スタックにつき命中率 $h[+5%],명중률이 $h[5%] 상승합니다.,每點增加$h[5%]命中率。,Augmente la précision de $h[5 %].,Повышает точность на $h[5%].,Aumenta a precisão em $h[5%].,Aumenta la precisión un $h[5 %].
Neutral_NAME,Neutral,Neutral,通用,共通,중립,通用,Neutre,Нейтр.,Neutro,Neutral
<!MissingKey:77:Vampirism>,Vampirism,Vampirismus,吸血,吸血,흡혈,吸血,Vampirisme,Вампиризм,Vampirismo,Vampirismo
Health_NAME,Health,Leben,生命值,体力,체력,生命值,PV,Здоровье,Vida,PS
<!MissingKey:79:Fatigue>,Fatigue,Erschöpfung,疲惫,疲労,피로,疲勞,Fatigue,Истощение,Cansaço,Fatiga
<!MissingKey:80:Gemstone>,Gemstone,Edelstein,宝石,宝石,보석,寶石,Pierre précieuse,Самоцвет,Gema,Gema
Ranger_NAME,Ranger,Waldläufer,游侠,レンジャー,레인저,遊俠,Rôdeur,Лучник,Arqueira,Exploradora
"<!MissingKey:82:Some people love to see the world burn. Literally. Pyromancers find arson awesome! A Pyromancer uses fire as a weapon, resource, crafting ingredient, hobby, and friend. {items}>","Some people love to see the world burn. Literally. Pyromancers find arson awesome! A Pyromancer uses fire as a weapon, resource, crafting ingredient, hobby, and friend. {items}","Manche Menschen wollen die Welt brennen sehen, wortwörtlich. Sie nennen sich Pyromanen und haben es sich zur Lebensaufgabe gemacht, Dinge zu entflammen. Ein richtiger Pyromane nutzt Feuer immer und für alles: Als Waffe, Werkstoff, Zeitvertreib und Freund. {items} ",有些人就是希望世界陷入一片火海，字面意思上的火海。火焰魔导士痴迷于纵火！她把火当做武器、资源、制作材料、爱好，当然火也是她的朋友。{items},言葉通りの意味で世界が燃え上がる様を見るのを愛する人々がいる。そんなパイロマンサーは、放火をイケてるものと考え、火を武器、資源、クラフト素材、オモチャや友だちとして扱う。{items},"세상이 불타는 모습을 보는 것을 좋아하는 사람들이 있습니다. 문자 그대로요. 파이로맨서는 방화의 멋짐을 깨달았습니다! 파이로맨서는 불꽃을 무기이자 자원, 제작 재료, 장난감, 친구로 취급합니다. {items}",有些人就是希望世界陷入一片火海，字面意思上的火海。火焰魔導士癡迷於縱火！她把火焰當做武器、資源、製作材料、愛好，甚至是朋友。{items},"Il y a des gens qui aimeraient voir le monde brûler. Littéralement. Les Pyromanciens trouvent la pyromanie géniale ! Ils considèrent le feu comme une arme, une ressource, un outil d'artisanat, un passe-temps mais aussi un ami. {items}","Кто-то просто любит смотреть на то, как пылает мир. В буквальном смысле. Пироманты уверены, что необузданное пламя — это круто! Огонь для пироманта и оружие, и ресурс, и элемент для созидания, и хобби, и товарищ. {items}","Certas pessoas adoram ver o mundo pegar fogo. Literalmente. As Piromantes se encantam com incêndios! Elas usam o fogo como arma, recurso, material de fabricação, passatempo e amigo. {items}","A algunas personas les gusta ver el mundo arder... ¡Y a las piromantes les gusta causar los incendios! Usan el fuego como arma, recurso, material de fabricación, afición y amigo leal. {items}"
<!MissingKey:83:Special $unique[Unique] item occasionally offered in the shop.>,Special $unique[Unique] item occasionally offered in the shop.,Spezielle $unique[einzigartige] Gegenstände die gelegentlich im Laden angeboten werden.,偶尔在商店出现的$unique[特别]物品。,時々ショップで販売される特別な$unique[ユニーク]アイテム,상점에서 가끔씩 등장하는 특별한 $unique[유니크] 아이템입니다.,偶爾在商店出現的$unique[特別]物品。,Un objet $unique[Unique] spécial occasionnellement disponible dans la boutique.,В магазине будут периодически будут появляться $unique[уникальные] предметы.,Item especial $unique[Único] oferecido ocasionalmente na loja.,Objeto especial $unique[único] que se vende en la tienda.
<!MissingKey:84:Gloves>,Gloves,Handschuhe,手套,手袋,장갑,手套,Gants,Перчатки,Luvas,Guantes
<!MissingKey:85:Ice>,Ice,Eis,冰,氷結,얼음,寒冰,Glace,Лед,Gélido,Hielo
<!MissingKey:86:Mana>,Mana,Mana,魔法,マナ,마나,魔法,Mana,Мана,Mana,Maná
<!MissingKey:87:Stun>,Stun,Benommenheit,眩晕,スタン,기절,暈眩,Étourdissement,Оглушение,Atordoamento,Aturdimiento
<!MissingKey:88:Decreases accuracy by $h[5%].>,Decreases accuracy by $h[5%].,Reduziert die Genauigkeit um $h[5%].,每层降低$h[5%]命中率。,1スタックにつき命中率 $h[-5%],명중률이 $h[5%] 감소합니다.,每層降低$h[5%]命中率。,Diminue la précision de $h[5 %].,Снижает точность на $h[5%].,Diminui a precisão em $h[5%].,Disminuye la precisión un $h[5 %].
<!MissingKey:89:Witch>,Witch,Hexe,女巫,ウィッチ,마녀,女巫,Sorcière,Ведьма,Bruxa,Bruja
<!MissingKey:90:Heat>,Heat,Hitze,狂热,ヒート,열기,狂熱,Chaleur,Жар,Calor,Calor
<!MissingKey:91:Magic>,Magic,Magisch,魔法,魔法,마법,魔法,Magique,Магический,Mágico,Mágico
