key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:10:Tim>,Tim,Tim,骷髅蒂姆,ティム,팀,骷髏蒂姆,Tim,Джон,Tim,Tim
<!MissingKey:11:Strong Health Potion>,Strong Health Potion,Starker Heiltrank,强力生命魔药,ハイヘルスポーション,강력한 체력 포션,強效生命魔藥,Potion de PV forte,Усиленное зелье здоровья,Poção de Vida Potente,Poción curativa potente
<!MissingKey:12:Pumpkin>,Pumpkin,Kürbis,南瓜头,パンプキン,호박,南瓜頭,Citrouille,Тыква,Abóbora,Calabaza
<!MissingKey:13:Artifact Stone: Heat>,Artifact Stone: Heat,Artefaktstein: Hitze,遗迹石：火焰,古代の石：フレイム,아티팩트석: 열기,神器石：火焰,Pierre d'artefact : Chaleur,Артефакт: Жар,Pedra de Artefato: Calor,Piedra artefacto: Calor
<!MissingKey:14:Add $h[4] backpack slots.>,Add $h[4] backpack slots.,Fügt $h[4] Rucksackplätze hinzu.,增加$h[4]格背包槽位。,バックパックのスロットを$h[4]追加する,배낭 슬롯을 $h[4]개 추가합니다.,增加$h[4]格背包欄位。,Ajoutez $h[4] emplacements de sac à dos.,Добавляет $h[4] слота к рюкзаку.,Adiciona $h[4] espaços à mochila.,Añade $h[4] espacios a la mochila.
<!MissingKey:15:$t[Every $cds:] Inflict $fatigue[Fatigue] damage. $t[On debuffed:] $chance% chance to inflict the same debuff. $t[Health drops below $p2%:] $affected Items trigger $p3% faster for $p4s (once).>,$t[Every $cds:] Inflict $fatigue[Fatigue] damage. $t[On debuffed:] $chance% chance to inflict the same debuff. $t[Health drops below $p2%:] $affected Items trigger $p3% faster for $p4s (once).,"$t[Alle $cds:] Verursache $fatigue[Erschöpfungsschaden]. $t[Bei Debuff:] $chance% Chance, den selben Debuff zu verursachen. $t[Leben fällt unter $p2%:] $affected Gegenstände aktivieren $p3% schneller für $p4s.",$t[每$cds：]向对手造成$fatigue[疲惫]伤害。$t[获得减益效果时：]有$chance%的几率向对手施加同样的效果。$t[生命值低于$p2%时：]$affected的物品$p4s内触发快$p3%。（单次触发）,$t[$cd秒毎：]$fatigue[疲労]ダメージを与える $t[被デバフ時：]$chance%の確率で相手にも同じデバフを付与する $t[体力が$p2%未満に低下時：]$p4秒間、$affectedにあるアイテムの使用速度が$p3%上がる（1回のみ）,$t[$cd초마다:] $fatigue[피로] 피해를 부여합니다. $t[디버프 획득 시:] $chance%의 확률로 동일한 디버프를 부여합니다. $t[체력이 $p2% 아래로 떨어질 시:] $p4초 동안 $affected에 위치한 아이템이 $p3% 빠르게 발동합니다 (한 번).,$t[每$cd秒：]向對手造成$fatigue點[疲勞]傷害。$t[獲得減益效果時：]有$chance%的機率向對手施加同樣的效果。$t[生命值低於$p2%時：]$affected的物品$p4秒內觸發速度加快$p3%。（單次觸發）,$t[Toutes les $cd s :] infligez des dégâts de $fatigue[Fatigue]. $t[En recevant un malus :] $chance % de chance d'infliger le même malus. $t[PV inférieurs à $p2 % :] les objets $affected se déclenchent $p3 % plus vite pendant $p4 s (une fois).,$t[Раз в $cd сек.:] наносит урон от $fatigue[истощения]. $t[Негативные эффекты на герое:] $chance% шанс наложить на противника такой же негативный эффект. $t[При здоровье героя ниже $p2%:] $affected предметы срабатывают на $p3% чаще в течение $p4 сек. (один раз).,$t[A cada $cd s:] Inflige dano de $fatigue[Cansaço]. $t[Ao sofrer debuff:] $chance% de chance de infligir o mesmo debuff. $t[Vida abaixo de $p2%:] Os itens $affected ativam-se $p3% mais rápido por $p4 s (uma vez).,$t[Cada $cd s] Inflige daño por $fatigue[Fatiga]. $t[Si se tiene desventajas:] $chance % de probabilidad de infligir la misma desventaja. $t[Si los PS caen por debajo del $p2%:] Los $affected objetos se activan un $p3 % más rápido durante $p4 s (una vez).
<!MissingKey:16:Piggybank>,Piggybank,Sparschwein,存钱罐,ブタちゃん貯金箱,돼지저금통,存錢罐,Tirelire cochon,Копилка,Cofrinho,Hucha
<!MissingKey:17:Potion Belt>,Potion Belt,Trankgürtel,魔药腰带,ポーションベルト,포션 벨트,魔藥腰帶,Ceinture de potions,Сумка для зелий,Cinto de Poções,Cinturón de pociones
<!MissingKey:18:Add $h[3] backpack slots. >,"Add $h[3] backpack slots. 

 Gain $h[1] maximum stamina.","Fügt $h[3] Rucksackplätze hinzu. 
 Ausdauermaximum +$h[1].","增加$h[3]格背包槽位。

最大耐力值增加$h[1]点。","バックパックのスロットを$h[3]追加する

スタミナ最大値が$h[1]増える","배낭 슬롯을 $h[3]개 추가합니다.

최대 스태미나가 $h[1] 상승합니다.","增加$h[3]格背包欄位。
最大耐力值增加$h[1]點。","Ajoutez $h[3] emplacements de sac à dos. 

 Gagnez $h[1] d'endurance max.","Добавляет $h[3] слота к рюкзаку. 

 Повышает максимальную энергию на $h[1] ед.","Adiciona $h[3] espaços à mochila. 

 Ganha $h[1] de vigor máximo.","Añade $h[3] espacios a la mochila. 

 Obtiene $h[1] de resistencia máx."
<!MissingKey:19:Moon Shield>,Moon Shield,Mondschild,月光盾,月の盾,달의 방패,月光盾,Bouclier de lune,Лунный щит,Escudo Lunar,Escudo lunar
<!MissingKey:20:$t[Shop entered:] Gain $p1 $gold. $t[Start of battle:] Gain $p2 maximum health for each $affected $h[Start of battle] item.>,$t[Shop entered:] Gain $p1 $gold. $t[Start of battle:] Gain $p2 maximum health for each $affected $h[Start of battle] item.,$t[Laden betreten:] Erhalte $p1 $gold. $t[Kampfbeginn:] Erhalte $p2 Maximalleben für jeden $affected $h[Kampfbeginn]-Gegenstand.,$t[进入商店时：]获得$p1枚$gold。$t[战斗开始时：]每个$affected的带$h[“战斗开始时”]触发效果物品提供$p2点最大生命值。,$t[ショップ入店時：]$p1 $gold を獲得する $t[バトル開始時：] $affectedにある$h[バトル開始時]アイテム1個につき体力最大値が$p2増える,"$t[상점 진입 시:] $gold를 $p1 획득합니다. $t[전투 시작 시:] $affected에 위치한 $h[전투 시작 시] 아이템마다, 최대 체력을 $p2 획득합니다.",$t[進入商店時：]獲得$p1枚$gold。$t[戰鬥開始時：]每個$affected的$h[戰鬥開始時]觸發效果物品提供$p2點最大生命值。,$t[En entrant dans la boutique :] gagnez $p1 $gold. $t[Au début du combat :] gagnez $p2 des PV max pour tous les objets $affected de $h[Début du combat].,$t[Переход в магазин:] добавляет $p1 $gold. $t[Начало боя:] добавляет $p2 ед. максимального здоровья за каждый $affected предмет типа $h[Начало боя].,$t[Ao entrar na loja:] Ganhe $p1 $gold. $t[Início da batalha:] Ganhe $p2 de vida máxima por cada item de $h[Início da batalha] $affected.,$t[Al entrar en la tienda:] Obtiene $p1 $gold. $t[Al comienzo de la batalla:] Obtiene $p2 de PS máx. por cada objeto $h[Al comienzo de la batalla] $affected.
<!MissingKey:21:$t[Start of battle:] Inflict $p1 $blind.>,$t[Start of battle:] Inflict $p1 $blind.,$t[Kampfbeginn:] Verursache $p1 $blind.,$t[战斗开始时：]施加$p1层$blind。,$t[バトル開始時：]$p1 $blind を付与する,$t[전투 시작 시:] $blind을 $p1 부여합니다.,$t[戰鬥開始時：]施加$p1層$blind。,$t[Au début du combat :] infligez $p1 $blind.,$t[Начало боя:] добавляет $p1 $blind.,$t[Início da batalha:] Inflige $p1 $blind.,$t[Al comienzo de la batalla:] Inflige $p1 $blind.
<!MissingKey:22:Cap of Discomfort>,Cap of Discomfort,Kappe des Unbehagens,腐败头盔,苦痛のヘルム,고통의 모자,腐敗頭盔,Capuchon de nuisance,Проклятый шлем,Elmo do Desconforto,Gorra de la incomodidad
<!MissingKey:23:Health Potion>,Health Potion,Heiltrank,生命魔药,ヘルスポーション,체력 포션,生命魔藥,Potion de PV,Зелье здоровья,Poção de Vida,Poción curativa
<!MissingKey:24:Customer Card>,Customer Card,Kundenkarte,会员卡,ショップ会員カード,회원 카드,會員卡,Carte de fidélité,VIP-карта,Cartão de Cliente,Carnet de socio
<!MissingKey:25:$t[Every $cds:] Gain $h[1] $spikes and heal for $p1.>,$t[Every $cds:] Gain $h[1] $spikes and heal for $p1.,$t[Alle $cds:] Erhalte $h[1] $spikes und heile um $p1.,$t[每$cds：]获得$h[1]层$spikes并恢复$p1点生命值。,$t[$cd秒毎：]$h[1] $spikes を獲得し、体力を$p1回復する,"$t[$cd초마다:] $spikes를 $h[1] 획득하고, 체력을 $p1 회복합니다.",$t[每$cd秒：]獲得$h[1]層$spikes並恢復$p1點生命值。,$t[Toutes les $cd s :] gagnez $h[1] $spikes guérissez de $p1.,$t[Раз в $cd сек.:] добавляет $h[1] $spikes и восстанавливает $p1 ед. здоровья.,$t[A cada $cd s:] Ganhe $h[1] $spikes e restaura $p1 de vida.,$t[Cada $cd s:] Obtiene $h[1] $spikes y recupera $p1 PS.
<!MissingKey:26:$t[On hit:] Use $p1 $lucky to gain $p2 damage. $t[On miss:] Gain $p3 $lucky.>,$t[On hit:] Use $p1 $lucky to gain $p2 damage. $t[On miss:] Gain $p3 $lucky.,"$t[Bei Treffer:] Nutze $p1 $lucky, um Schaden um $p2 zu erhöhen. $t[Bei Verfehlen:] Erhalte $p3 $lucky.",$t[击中对手时：]消耗$p1点$lucky获得$p2点伤害加成。$t[未命中：]获得$p3点$lucky。,$t[ヒット時：]$p1 $lucky を消費して、ダメージ値が$p2増える $t[ミス時：]$p3 $lucky を獲得する,$t[적중 시:] $lucky을 $p1 사용해 가하는 피해가 $p2 증가합니다. $t[빗나갈 시:] $lucky을 $p3 획득합니다.,$t[命中時：]消耗$p1點$lucky獲得$p2點傷害加成。$t[未命中：]獲得$p3點$lucky。,$t[Par coup :] utilisez $p1 $lucky pour gagner $p2 de dégâts. $t[En manquant :] gagnez $p3 $lucky.,"$t[При попадании:] использует $p1 $lucky, чтобы добавить $p2 ед. урона. $t[При промахе:] добавляет $p3 $lucky.",$t[Ao acertar:] Gasta $p1 $lucky para ganhar $p2 de dano. $t[Ao errar:] Ganhe $p3 $lucky.,$t[Al golpear:] Usa $p1 $lucky para infligir $p2 más de daño. $t[Al fallar:] Obtiene $p3 $lucky.
<!MissingKey:27:Holy Armor>,Holy Armor,Heilige Rüstung,神圣护甲,聖なる鎧,신성한 갑옷,神聖護甲,Armure sainte,Святой доспех,Armadura Sagrada,Armadura sagrada
<!MissingKey:28:Can only be thrown once per battle. $t[On hit:] Gain $p1 $heat. $t[$p2 $heat reached:] $affected $h[Weapons] gain $p3 damage.>,Can only be thrown once per battle. $t[On hit:] Gain $p1 $heat. $t[$p2 $heat reached:] $affected $h[Weapons] gain $p3 damage.,Kann einmal pro Kampf geworfen werden. $t[Bei Treffer:] Erhalte $p1 $heat. $t[$p2 $heat erreicht:] $affected $h[Waffen] verursachen +$p3 Schaden.,每场战斗只能投掷一次。$t[击中对手时：]获得$p1层$heat。$t[达到$p2层$heat：]$affected的$h[武器]获得+$p3点伤害加成。,1回のバトルで1度だけ投げられる $t[ヒット時：]$p1 $heat を獲得する $t[$p2 $heat 到達時：]$affectedにある$h[武器]のダメージ値が$p3増える,전투당 한 번 던질 수 있습니다. $t[적중 시:] $heat를 $p1 부여합니다. $t[$heat가 $p2에 도달 시:] $affected에 위치한 $h[무기]가 가하는 피해가 $p3 증가합니다.,每場戰鬥只能投擲一次。$t[命中時：]獲得$p1層$heat。$t[達到$p2層$heat：]$affected的$h[武器]獲得+$p3點傷害加成。,Ne peut être lancée qu'une seule fois par combat. $t[Par coup :] gagnez $p1 $heat. $t[En atteignant $p2 $heat :] les $h[Armes] $affected gagnent +$p3 de dégâts.,Можно бросить только один раз за бой. $t[При попадании:] добавляет $p1 $heat. $t[При получении $p2 $heat:] $affected $h[оружие] получает +$p3 ед. урона.,Pode ser jogada apenas uma vez por batalha. $t[Ao acertar:] Ganhe $p1 $heat. $t[$p2 $heat alcançados:] as $h[Armas] $affected ganham +$p3 de dano.,Se puede lanzar una vez por batalla. $t[Al golpear:] Obtiene $p1 $heat. $t[Al alcanzar $p2 $heat:] Las $affected $h[Armas] causan $p3 más de daño.
<!MissingKey:29:Goobert>,Goobert,Schlotzbert,黏黏,スラバート,슬돌이,黏呼呼,Viskeu,Слаймер,Gosberto,Viscosino
<!MissingKey:30:Eggscalibur>,Eggscalibur,Prachtvoller Bräter,荷包蛋圣锅,エッグスカリバー,에그스칼리버,荷包蛋聖鍋,Poêlecalibur,Жарь-скалибур,Excalideira,Excalihuevo
<!MissingKey:31:$c[Weapon sockets:] $m[On hit:] $chance% chance to deal \~+$p1 damage. $c[Armor & other sockets:] $m[Start of battle:] Gain $block $bl. >,"$c[Weapon sockets:] $m[On hit:] $chance% chance to deal \~+$p1 damage. $c[Armor & other sockets:] $m[Start of battle:] Gain $block $bl. 
 Resist $h[1] debuff. $c[Backpack:] $m[After $cds:] Gain a random buff, inflict a random debuff.","$c[Waffensockel:] $m[Bei Treffer:] $chance% Chance +$p1 Schaden zu verursachen. $c[Rüstung & andere Sockel:] $m[Kampfbeginn:] Erhalte $block $bl. 
 Verhindere $h[1] Debuff. $c[Rucksack:] $m[Nach $cds:] Erhalte einen Buff, verursache einen Debuff.","$c[放入武器槽：] $m[击中对手时：]有$chance%的几率造成+$p1点额外伤害。$c[放入护甲或其他槽：] $m[战斗开始时：]获得$block点$bl。
还会抵挡$h[1]层减益效果。$c[放入背包：] $m[在$cds后：]获得一个随机增益效果，向对手施加一个随机减益效果。","$c[武器に装着：]$m[ヒット時：]$chance%の確率で与ダメージ +$p1 $c[非武器に装着：] $m[バトル開始時：]$block $bl を獲得する
$h[1]デバフを無効化する $c[バックパックに配置：] $m[$cd秒後：]1バフを獲得し、1デバフを付与する","$c[무기 소켓:] $m[적중 시:] $chance%의 확률로 피해량이 $p1 증가합니다. $c[방어구 및 기타 소켓:] $m[전투 시작 시:] $bl를 $block 획득합니다.
디버프에 $h[1]번 저항합니다. $c[배낭:] $m[$cd초 후:] 무작위 버프를 획득하고, 무작위 디버프를 부여합니다.","$c[放入武器槽：]$m[命中對手時：]有$chance%的機率造成+$p1點額外傷害。$c[放入護甲或其他槽位：]$m[戰鬥開始時：]獲得$block點$bl。
還會抵擋$h[1]層減益效果。$c[放入背包：]$m[在$cd秒後：]獲得一個隨機增益效果，向對手施加一個隨機減益效果。","$c[Emplacements d'armes :] $m[Par coup :] $chance % de chance d'infliger +$p1 de dégâts. $c[Armure et autres emplacements :] $m[Au début du combat :] gagnez $block $bl. 
 Résistez à $h[1] malus. $c[Sac à dos :] $m[Après $cd s :] gagnez un bonus aléatoire, infligez un malus aléatoire.","$c[В слоте оружия:] $m[При попадании:] шанс $chance% нанести +$p1 ед. урона. $c[В слоте брони/в другом слоте:] $m[Начало боя:] добавляет $block $bl. 
 Игнорирует $h[1] негативный эффект. $c[В рюкзаке:] $m[Через $cd сек.:] добавляет герою случайное усиление и накладывает случайный негативный эффект на противника.","$c[Engastes de armas:] $m[Ao acertar:] $chance% de chance de causar +$p1 de dano. $c[Demais engastes:] $m[Início da batalha:] Ganhe $block $bl. 
 Resiste a $h[1] debuff. $c[Mochila:] $m[Após $cd s:] Ganhe um buff aleatório e inflige um debuff aleatório.","$c[Ranuras de arma:] $m[Al golpear:] $chance % de probabilidad de infligir +$p1 de daño. $c[Ranuras de armadura y otras:] $m[Al comienzo de la batalla:] Obtiene $block $bl. 
 Resiste $h[1] desventaja. $c[Mochila:] $m[Tras $cd s:] Obtiene una ventaja al azar, inflige una desventaja al azar."
<!MissingKey:32:Fanny Pack>,Fanny Pack,Bauchtasche,腰包,ウエストポーチ,허리 가방,腰包,Besace,Поясная сумка,Pochete,Riñonera
<!MissingKey:33:Blood Harvester>,Blood Harvester,Bluternter,血腥镰刀,血の大鎌,피의 수확자,血腥鐮刀,Faux de sang,Кровопийца,Gadanha de Sangue,Cosechador sangriento
<!MissingKey:34:Perfect Amethyst>,Perfect Amethyst,Perfekter Amethyst,完美紫水晶,完璧なアメシスト,완벽한 자수정,完美紫水晶,Améthyste parfaite,Полированный аметист,Ametista Perfeita,Amatista perfecta
<!MissingKey:35:$t[On hit:] Inflict $p1 $poison. $t[On stun:] Triggers extra attack. >,$t[On hit:] Inflict $p1 $poison. $t[On stun:] Triggers extra attack. ,$t[Bei Treffer:] Verursache $p1 $poison. $t[Gegner benommen:] Löse einen zusätzlichen Angriff aus.,$t[击中对手时：]施加$p1层$poison。$t[眩晕对手：]触发额外攻击。,$t[ヒット時：]$p1 $poison を付与する $t[スタン時：]追加攻撃を行う,$t[적중 시:] $poison을 $p1 부여합니다. $t[기절 시:] 추가 공격을 가합니다.,$t[命中時：]施加$p1層$poison。$t[暈眩對手時：]觸發額外攻擊。,$t[Par coup :] infligez $p1 $poison. $t[Par étourdissement :] déclenche une attaque supplémentaire.,$t[При попадании:] накладывает $p1 $poison. $t[При оглушении:] наносит дополнительную атаку.,$t[Ao acertar:] Inflige $p1 $poison. $t[Ao atordoar:] ativa um ataque adicional.,$t[Al golpear:] Inflige $p1 $poison. $t[Al aturdir:] Activa un ataque adicional.
<!MissingKey:36:$t[Every $cds:] Cleanse $h[1] debuff. If you have at least $p2 $lucky: $chance% chance to gain $h[1] $empower.>,$t[Every $cds:] Cleanse $h[1] debuff. If you have at least $p2 $lucky: $chance% chance to gain $h[1] $empower.,$t[Alle $cds:] Entferne $h[1] Debuff. Wenn du mindestens $p2 $lucky hast: $chance% Chance $h[1] $empower zu erhalten.,$t[每$cds：]随机净化$h[1]个减益效果。如果你有$p2点以上$lucky，将有$chance%的几率获得$h[1]层$empower。,$t[$cd秒毎：]$h[1]デバフを解除する。$p2 $lucky 以上ある場合：$chance%の確率で$h[1] $empower を獲得する,"$t[$cd초마다:] 디버프를 $h[1]개 정화합니다. $p2 이상의 $lucky을 보유 시, $chance% 확률로 $empower를 $h[1] 획득합니다.",$t[每$cd秒：]隨機淨化$h[1]個減益效果。如果你有$p2點以上$lucky，有$chance%的機率獲得$h[1]層$empower。,$t[Toutes les $cd s :] purgez $h[1] malus aléatoire. Si vous avez au moins $p2 $lucky : $chance % de chance de gagner $h[1] $empower.,$t[Раз в $cd сек.:] снимает с героя $h[1] негативный эффект. Если у героя не менее $p2 $lucky: $chance% шанс получить $h[1] $empower.,$t[A cada $cd s:] Purifica $h[1] debuff. Se você tiver ao menos $p2 $lucky: $chance% de chance de ganhar $h[1] $empower.,$t[Cada $cd s:] Elimina $h[1] desventaja. Si se tiene al menos $p2 $lucky: $chance % de probabilidad de obtener $h[1] $empower.
<!MissingKey:37:Critwood Staff>,Critwood Staff,Kritholzstab,暴击法杖,クリティカルの杖,치명의 지팡이,暴擊法杖,Bâton critique,Посох природы,Cajado de Criteiro,Bastón del bosque
<!MissingKey:38:Wooden Buckler>,Wooden Buckler,Holzschild,木盾,木の盾,나무 버클러,木盾,Bouclier de bois,Деревянный щит,Broquel de Madeira,Escudo de madera
<!MissingKey:39:$t[Start of battle:] Gain $p1 $lucky.>,$t[Start of battle:] Gain $p1 $lucky.,$t[Kampfbeginn:] Erhalte $p1 $lucky.,$t[战斗开始时：]获得$p1点$lucky。,$t[バトル開始時：]$p1 $lucky を獲得する,$t[전투 시작 시:] $lucky을 $p1 획득합니다.,$t[戰鬥開始時：]獲得$p1點$lucky。,$t[Au début du combat :] gagnez $p1 $lucky.,$t[Начало боя:] добавляет $p1 $lucky.,$t[Início da batalha:] Ganhe $p1 $lucky.,$t[Al comienzo de la batalla:] Obtiene $p1 $lucky.
<!MissingKey:40:Deck of Cards>,Deck of Cards,Kartendeck,牌堆,カードデッキ,카드 덱,牌堆,Jeu de cartes,Колода карт,Baralho de Cartas,Mazo de cartas
