key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:10:The lucky part is the mutation that gave it an extra leaf. The luckiest people have extra limbs!>,The lucky part is the mutation that gave it an extra leaf. The luckiest people have extra limbs!,Das Glück kommt vom extra Blatt. Menschen mit extra Gliedmaßen haben auch mehr Glück!,之所以称为幸运四叶草，是因为变异多长出来一个叶片。幸运的人也会多一个手臂！,幸運の四つ葉って、突然変異で葉が1枚増えたクローバーなんだよ。だから、最高にラッキーな人は1本おまけの手足が生えてるんだろうね！,"운이 좋은 풀은 잎이 하나 더 있으니, 운이 좋은 사람은 팔다리가 하나 더 있겠네요!",之所以稱為四葉幸運草，是因為變異多長出來一個葉片。幸運的人也會多一條手臂！,La chance réside dans cette mutation qui lui a donné une feuille supplémentaire. Seuls les plus chanceux ont un petit quelque chose en plus !,"К счастью, мутация подарила ему дополнительный лист. У каждого удачливого существа есть лишние конечности!",Foi a sorte que o fez sofrer uma mutação e ter uma folha extra. As pessoas mais sortudas têm membros extras!,Tuvo la suerte de que una mutación le concedió una hoja adicional. ¡Nunca está de más una extremidad extra!
"<!MissingKey:11:Amazing how that worked out, now set it on fire!>","Amazing how that worked out, now set it on fire!",Zünd es an! Zünd es an!,没想到你做出了一个火把，点燃吧！,すごいね、あの素材からこんなモノができちゃうなんて。さあ、火をつけよう！,"어떻게 만든 건질 모르겠네요, 불을 붙여보죠!",沒想到你做出了一個火把，點燃它吧！,"C'est incroyable comme ça a bien marché, allumez-la maintenant !","Поразительно, что из этого получился факел! Теперь его можно зажечь.","Fico impressionado que tenha dado certo, agora bote fogo nela!","Qué bien ha quedado, ¡ahora préndele fuego!"
<!MissingKey:12:Bow to the Rainbow Slime!>,Bow to the Rainbow Slime!,.,啊，伟大彩虹黏黏！,人畜無害そうな顔をしているが、数え切れない人間を倒している。,무지개 슬라임에게 경배를!,啊，偉大彩虹黏呼呼！,Inclinez-vous devant sa gluance arc-en-ciel !,Склонитесь перед великой радужной слизью!,Curve-se diante da Geleca Arco-Íris!,¡Arrodíllate ante la baba arcoíris!
<!MissingKey:13:This style is worth angering some big lizards.>,This style is worth angering some big lizards.,"So stilvoll, da lohnt es sich ein paar Echsen zu verärgern.",穿上这个肯定会激怒蜥蜴。,大トカゲ界隈を敵に回すだけの価値があるデザインだよ。,신고 다니면 몇몇 도마뱀을 열받게 만들지도 모릅니다.,穿上這個肯定會激怒蜥蜴。,C'est ce que j'appelle un style qui vaut la peine d'irriter quelques gros lézards.,Драконам вряд ли придется по вкусу ваша обувь.,Este estilo pode acabar revoltando alguns lagartões.,Fuente de infinitas protestas de defensores de los animales.
"<!MissingKey:14:Could it be? I bow to you, ruler of the kitchen!>","Could it be? I bow to you, ruler of the kitchen!",Du bist nun der rechtmäßige König der Küche!,难道是……难道你就是掌管厨房的神！,古代の王のキッチンにあった魔法のフライパンだよ。,"설마...? 부엌의 지배자시여, 당신께 경의를 표합니다!",難道……難道你就是掌管廚房的神？,"Est-ce possible ? Je m'incline devant vous, ô grand chef !","Неужели это... Я преклоняюсь пред тобой, о, Владыка кухни!",Será possível?... Ó grande chefe da cozinha!,"¡No es posible! ¡Me arrodillo ante ti, gobernante de la cocina!"
<!MissingKey:15:An effective lucky token / weapon.>,An effective lucky token / weapon.,Wirkungsvoll als Glücksbringer und Waffe.,既是幸运符又是武器。,昔は運にだけは自信があったのだが、膝に矢をうけてしまってな…,행운의 부적 겸 무기입니다.,既是幸運符又是武器。,C'est à la fois un porte-bonheur et une arme de choix.,"Одновременно и талисман, и оружие.",Uma arma/amuleto da sorte eficaz.,Un arma/amuleto de la suerte muy útil.
<!MissingKey:16:What makes a true ranger? Is it the bag? It might be the bag.>,What makes a true ranger? Is it the bag? It might be the bag.,"Was macht einen Waldläufer aus? Ist es die Tasche? Ja, es ist die Tasche.",是什么让游侠成为真正的游侠？就是这个包！,真のレンジャーたる証って何だと思う？ バッグかな？ たぶんバッグだと思うよ。,진정한 레인저에게 필요한 건 뭘까요? 가방? 가방인 것 같네요.,是什麼讓遊俠成為真正的遊俠？就是這個背包！,"Qu'est-ce qui fait un vrai rôdeur ? Est-ce le sac ? C'est peut-être le sac, oui.","Что делает лучника лучником? Сумка? Наверное, все дело в сумке.",O que faz um verdadeiro arqueiro? A bolsa? Deve ser a bolsa.,¿Qué hace falta para ser explorador? ¿Será llevar esta bolsa? Probablemente.
<!MissingKey:17:You feel 25% of a hit more resilient already.>,You feel 25% of a hit more resilient already.,Du fühlst dich jetzt schon 25% robuster. ,我已经感觉到更加抗揍了。,欠片を4つ集めておいたよ。,체력이 25% 정도 더 회복되는 기분이네요.,我已經感覺到更加抗揍了。,Vous vous sentez déjà plus résistant de 25 %.,Ваша уверенность повышается на 25%.,Você já se sente 25% de um golpe mais resistente.,Ya te sientes un 25 % más resistente.
"<!MissingKey:18:Time is like a gummy worm. You can stretch it, compress it into a ball, eat it... I would love to have some gummy worms right now.>","Time is like a gummy worm. You can stretch it, compress it into a ball, eat it... I would love to have some gummy worms right now.","Zeit ist wie ein Gummiwurm, du kannst sie langziehen, zusammenknäulen, essen… ich hätte so gerne einen Gummiwurm.",时间就像橡皮糖。可以延伸，也能压缩……说到这个，我有点想吃橡皮糖了。,時計に付いた麻酔銃で動きを止めるのではなく、直接時間に干渉することで動きを止める時計だよ。,"시간은 지렁이 젤리와 같습니다. 늘릴 수도 있고, 눌러서 공으로 만들 수도 있고, 먹을 수도...갑자기 지렁이 젤리가 하나 먹고 싶네요.",時間就像橡皮糖。可以延伸，也能壓縮……說到這個，我有點想吃橡皮糖了。,"Le temps est comme un bonbon ver de terre. On peut l'étirer, le comprimer en boule ou le manger… Tiens, j'aimerais bien manger un bonbon là maintenant.","Время похоже на жевательного червячка. Его можно растянуть, скатать в шарик, съесть... Вот бы сейчас съесть несколько жевательных червячков.","O tempo é como uma bala de minhoca: podemos esticar, fazer bolinha, comer... Eu adoraria umas balas de minhoca agora.","El tiempo es como un gusano de golosina: puedes estirarlo, comprimirlo en una bola, comértelo... Ay, qué ganas de comer golosinas."
"<!MissingKey:19:Things break all the time, that’s just how entropy works unfortunately. Better keep some tools ready.>","Things break all the time, that’s just how entropy works unfortunately. Better keep some tools ready.","Das Miese mit der Entropie ist, dass Sachen immer nur von allein kaputt gehen, und nie einfach so wieder ganz werden.",东西总有坏的时候，背个工具包没啥坏处。,この機能満載のポーチ…たしかに便利そうですけど、お高いんでしょう？,"물건은 언제든지 망가질 수 있고, 예측할 수 없는 상황은 닥쳐오기 마련입니다. 도구 몇 개는 항상 준비해두는 게 좋죠.",東西總有壞的時候，背個工具包沒啥壞處。,"Il y a toujours quelque chose à réparer, c'est là toute la complexité de l'entropie. Mieux vaut garder des outils à portée de main.",Любая вещь рано или поздно ломается. Держать при себе парочку инструментов никогда не будет лишним.,"Toda hora quebra alguma coisa, fazer o quê? É melhor andar com ferramentas.","Las cosas se rompen, desgraciadamente así es como funciona la entropía. Siempre hay que tener herramientas a mano."
"<!MissingKey:20:If you can lift it, you might become the king of England or something.>","If you can lift it, you might become the king of England or something.","Wer es heben kann, wird der König von England oder sowas!",听说举起来的人能成为英格兰的王还是啥。,コイツの強さの秘訣？興味あるね。,"들어올릴 수만 있다면, 뭐 영국이나 어디 국왕으로 인정받을 수도 있습니다.",聽說能夠把這個舉起來的人能成為英格蘭的王之類的。,"Si vous parvenez à la brandir, vous deviendrez peut-être roi d'Angleterre ou un truc du genre.","Если вы сможете его поднять, то станете королем Англии или кем-то в этом роде...","Se você conseguir erguê-la, é capaz de virar o rei da Inglaterra.","Si la consigues sacar de la piedra, te nombran rey de Inglaterra o no sé qué."
<!MissingKey:21:Luckily for you we now have a resource-charge-back option!>,Luckily for you we now have a resource-charge-back option!,Zum Glück haben wir das neue umweltfreundliche Ressourcenpfandsystem etabliert.,相当于一个充电宝。,ツイてるね！リソース返還キャンペーン中だよ！,다행이 에너지 반환 기능을 보유하고 있습니다!,相當於一個行動電源。,"Heureusement pour vous, nous disposons désormais d'une option de refacturation des ressources !",Принцип его работы походит на аккумуляторную батарею.,É tipo um carregador portátil.,¡Para los que les da pereza hasta levantarse del sofá!
<!MissingKey:22:Get rich and healthy with this one trick doctors and the tax office don’t want you to know!>,Get rich and healthy with this one trick doctors and the tax office don’t want you to know!,Werde schnell reich und gesund! Ärzte und das Finanzamt hassen diesen Trick!!,不用担心，这个投资机会完全没有风险。,税務署や医者が知られたくない、このマル秘テクを使ってお金と健康を手に入れよう！,이것 하나로 부자가 되고 건강해질 수 있습니다. 세무서에선 절대 알려주지 않을 비결이죠.,不用擔心，這個投資機會完全沒有風險。,Les médecins et l'office des impôts souhaitent vous cacher cette simple astuce qui vous permettra de devenir riche et en bonne santé !,"Станьте богатым и счастливым с помощью одной хитрости, которую от всех нас скрывает налоговая инспекция!",Fique rico e saudável com este truque que os médicos e a administração fiscal não quer que você saiba!,¡Podrás tener millones y una salud envidiable con este truco que los médicos y Hacienda no quieren que sepas!
<!MissingKey:23:The sun is pretty awesome if you think about it. Really shiny and all.>,The sun is pretty awesome if you think about it. Really shiny and all.,"Wenn man so drüber nachdenkt, ist die Sonne schon klasse. Warm und rund und so.",赞美太阳！,考えてみれば太陽ってかなりスゴイ。本当に輝いてたりするからね。,곰곰이 생각해보면 태양이란 건 꽤 멋지죠. 엄청 반짝거리기도 하고요.,讚美太陽！,"Le soleil est plutôt impressionnant quand on y pense. Genre, il brille et tout.","Если задуматься, то солнце выглядит просто потрясающе. Светится, греет и все такое.",O sol é realmente incrível se você pensar bem. Bem brilhante e tudo mais.,"El sol es una cosa tan maravillosa... Limpia, brilla y da esplendor."
<!MissingKey:24:Put the pointy end into the evil guy.>,Put the pointy end into the evil guy.,Pack das spitze Ende in den Fieserich.,七步之内匕首又快又准。,悪党どもには挨拶代わりにナイフを突き立てろ。,뾰족한 부분을 적에게 향하게 하세요.,七步之內匕首又快又准。,Mettez le bout pointu dans le méchant.,Рекомендуется хранить острием в нехороших людях.,Coloque a ponta afiada no vilão.,Coloca el extremo puntiagudo hacia el tipo malvado.
<!MissingKey:25:You have officially been acknowledged!>,You have officially been acknowledged!,Es wird auch noch ein Eintrag im landesweiten Bienchenheft registriert!,被正式认可的凭证！,あとは力の星と知恵の星を集めると望みが叶うって聞いた気がしたんですけど…あれ？違う形でしたっけ？,공식적인 인증을 받으셨습니다!,被正式認可的憑證！,Vous voilà officiellement reconnu(e) !,Вы официально получили признание!,Seu reconhecimento oficial!,¡Se te ha reconocido... algo!
<!MissingKey:26:It even went outside alone for a bit!>,It even went outside alone for a bit!,Er ist sogar schon mal kurz alleine raus gegangen!,他自己勇敢地跑出去玩了！,1匹でちょっとだけお出かけできるくらい勇敢なんだ！,혼자서 잠깐 밖으로 나갔다 올 정도로 용감하답니다!,他自己勇敢地跑出去玩了！,Il est même sorti seul pendant un instant !,Он отлично справится и без вашей помощи!,Ele até saiu sozinho um pouquinho!,¡Estuvo solo en la calle un ratito!
<!MissingKey:27:I wonder how they put so much mana into so little orb...>,I wonder how they put so much mana into so little orb...,Wie kriegen die so viel Mana da rein?,我在琢磨这么小一个球是怎么塞进那么多魔法的。,こんな大量のマナ、いったいどうやってこの小さなオーブに詰めたんだろうね…,이렇게 작은 오브에 어떻게 그렇게 많은 마력이 담겨있는 걸까요?,我在思考，這麼小一顆球是怎麼塞進那麼多魔法的？,Je me demande comment ils ont pu mettre autant de mana dans un si petit orbe…,"Интересно, как вообще может поместиться столько маны в такую маленькую сферу...",Queria saber como colocam tanta mana num orbe tão pequenininho...,Me pregunto cómo han metido todo ese maná en un orbe tan pequeñito...
<!MissingKey:28:Such a mean little pokey thing.>,Such a mean little pokey thing.,"So ein gemeines, pieksiges, Ding.",一看就是坏人用的。,お前のチカラは俺のチカラ。俺のチカラも俺のチカラ。,정말 시시하고 얄밉기 짝이 없네요. ,一看就是壞人用的。,C'est pointu ce petit machin.,Такой меч вряд ли принадлежал герою.,Que coisinha malvada.,¡Afilada en más de un sentido!
<!MissingKey:29:There is no need to abstain from sacrificial rituals even when traveling!>,There is no need to abstain from sacrificial rituals even when traveling!,Opferrituale nun auch bequem zum Mitnehmen!,旅行时也能随时进行献祭！,心臓とかなんかいろいろ捧げよ！,이제 여행 중에도 언제든지 자유롭게 제물을 바칠 수 있습니다!,旅行時也能隨時進行獻祭！,"Pourquoi se priver de rituels sacrificiels, même en voyage ?",Все для жертвенных ритуалов всегда с собой!,Não precisa se abster dos rituais de sacrifício nem nas viagens!,¡Porque irte de viaje no es una excusa para desatender tus rituales de sacrificio!
<!MissingKey:30:Made from the BLUEST OF ALL BERRIES!>,Made from the BLUEST OF ALL BERRIES!,Es gibt auf der Welt kein blaueres Getränk.,由最蓝的蓝莓制作而成。,この世で最も青いベリーから作られてるんだよ！,가장 파란 베리들만 엄선해 제작되었습니다!,由最藍的藍莓製作而成。,Concoctée à partir des fruits rouges les plus bleus !,Изготовлено из самых голубых ягод!,Feita com as FRUTAS MAIS AZUIS DE TODAS!,¡Hecha con el arándano más azul del mundo!
<!MissingKey:31:He's such a treasure.>,He's such a treasure.,Er ist so ein Schätzchen.,可以摸，不咬人。,チェストナットは栗って意味なんだ。だから「クリ坊」とも呼ばれているのさ。,정말 보물 같은 아이죠.,可以摸，不咬人。,C'est un véritable trésor.,Настоящее маленькое сокровище!,Ele é um verdadeiro tesouro.,Es un tesoro.
<!MissingKey:32:You leave it outside for $h[one] night.>,You leave it outside for $h[one] night.,Da vergisst man das Ding einen Tag draußen...,在外面放$h[一]晚上就这样了。,盾を寒空の中に放置しても作れるよ。,밖에 $h[하루] 놔뒀을 뿐이랍니다.,在外面放$h[一]晚上就這樣了。,Essayez de le laisser dehors pendant $h[une] nuit.,Не забывайте на $h[ночь] выносить его на улицу.,O resultado de $h[uma] noite ao relento.,Un escudo que alguien se olvidó en la calle por $h[una] noche.
<!MissingKey:33:The shiny shell of the shiny snail.>,The shiny shell of the shiny snail.,"Leuchtschnecken bei ihrer Reise zu beobachten ist wundervoll, man hat auch lange was davon. ",闪闪发光蜗牛壳里面住着闪闪发光的蜗牛。,輝く殻。輝くカタツムリの。,빛나는 조개의 빛나는 껍질입니다.,閃閃發光蝸牛殼裏面住著閃閃發光的蝸牛。,La brillante coquille d'un brillant mollusque.,Блестящая раковина блестящей улитки.,A concha reluzente do também reluzente caramujo.,El caparazón deslumbrante de un caracol deslumbrante.
"<!MissingKey:34:Punch a vampire and they might explode. They might also get angry, who knows.>","Punch a vampire and they might explode. They might also get angry, who knows.","Erwischt man damit einen Vampir, explodiert er! Oder er wird sehr wütend.",闪电五连鞭，吸血鬼最怕的武器。,「吸血鬼殺し」という異名を持つ先祖伝承の聖なる鞭だけど、吸血鬼以外も痛いと思う。,흡혈귀에게 휘두르면 폭발해 버릴지도 모릅니다. 누가 뭐라 해봤자 증거도 안 남겠네요.,閃電五連鞭，吸血鬼最怕的武器。,"Si vous cognez un vampire, il risque d'exploser. Il pourrait également se mettre en colère, qui sait.",От удара этой плетью вампир разлетится на кусочки. Ну или разозлится. Тут уж как повезет.,"Dê um soco em um vampiro e talvez ele exploda. Talvez fique com raiva também, é por sua conta e risco.","Úsalo con un vampiro e igual explota. O igual explota pero de la rabia, no sé."
"<!MissingKey:35:Oh no, it dripped on the floor.>","Oh no, it dripped on the floor.",Nicht auf den Boden tropfen.,拿稳，别手滑掉了。,やっべ、床に垂れちゃった。,"이런, 바닥에 좀 흘렸네요.",拿穩，別手滑掉了。,"Oh non, je crois qu'elle vient de couler par terre.","О нет, огонь капает прямо на пол...","Poxa, pingou no chão.","Uy, no, va a poner el suelo perdido."
<!MissingKey:36:Twice the axe.>,Twice the axe.,Zweimal so gut wie nur eine Axt.,两把斧头，双倍快乐。,オーノー！オーノー！,도끼는 두 번 때린다.,兩把斧頭，雙倍快樂。,Deux pour le prix d'une.,Два лезвия — двойное удовольствие.,Duas vezes o machado.,Hachas por partida doble.
"<!MissingKey:37:Sapphire dragons are the smartest ones, so smart in fact, they don't tell you exactly how smart they are.>","Sapphire dragons are the smartest ones, so smart in fact, they don't tell you exactly how smart they are.","Saphirdrachen sind die schlausten. Sogar so schlau, dass sie einem nicht verraten, wie schlau sie jetzt genau sind.",蓝宝石幼龙最聪明，可能比你还聪明。,サファイアドラゴンはドラゴンで一番賢くて、本当に賢いもんだから、自分がどれだけ賢いか、ひけらかしたりしないんだ。,"사파이어 용은 아주 영리하기 때문에, 본인들이 얼마나 똑똑한지 말하고 다니지 않습니다.",藍寶石幼龍最聰明，可能比你還聰明。,"Les dragons saphir sont les plus intelligents, à tel point qu'ils ne vous diront jamais à quel point ils le sont.","Сапфировые драконы — самые умные. Именно поэтому им хватает ума не говорить, насколько они умные.","Os dragões de safira são os mais inteligentes, tão inteligentes que não nos dizem exatamente o quão inteligentes são.",Los dragones zafiro son tan listos que no les hace falta ir a la escuela. Nacen ya aprendidos.
<!MissingKey:38:By the power of the moon: HEAVY METAL PLATE!>,By the power of the moon: HEAVY METAL PLATE!,"Bei der Macht des Mondes, ich rufe dich, PLATTENPANZER!!",由汲取了月光能量的金属面板制作而成！,月に代わって…重金属の装甲でオシオキよ！,달과 정의의 이름으로 널 용서하지 않겠다!,由汲取了月光能量的金屬面板製作而成！,Par le pouvoir de la lune : PLAQUE DE MÉTAL LOURDE !,ВО ИМЯ ЛУНЫ!,"Bem lá no céu, uma lua existe... E essa lua dá poder à armadura.","¡Y en nombre de la luna, te protegerá!"
<!MissingKey:39:They say life is like a box full of boxes.>,They say life is like a box full of boxes.,Das Leben ist wie eine Box voll mit anderen Boxen.,喜欢开盲盒吗？,人生とは箱がいっぱい詰まった箱みたいなもの…だったっけ？,인생이란 건 상자로 가득 찬 상자와도 같습니다.,你喜歡開盲盒嗎？,"La vie, c'est comme une boîte remplie de boîtes.","Говорят, что жизнь похожа на коробку с сюрпризом. Никогда не знаешь, что внутри.",Dizem que a vida é uma caixinha cheia de caixas.,Mi madre dice que la vida es como una caja llena de cajas.
<!MissingKey:40:One of the greatest inventions of human history: The blade on a stick!>,One of the greatest inventions of human history: The blade on a stick!,Die größte Erfindung der Menschheit: Die Klinge am Stiel!,人类历史上最伟大的发明之一：棍子上绑一个石头。,剣に強くて、斧には弱い。なんてことは考えなくても大丈夫だよ。,"인류 역사상 가장 위대한 발명품 중 하나인, 칼 달린 막대입니다!",人類歷史上最偉大的發明之一：在棍子上綁一顆石頭。,L'une des plus grandes inventions de l'histoire de l'humanité : un lame sur un bâton !,Одно из величайших изобретений в истории человечества: клинок на палке!,Uma das maiores invenções da história humana: uma lâmina num pau!,Uno de los mayores inventos de la humanidad: ¡el cuchillo en un palo!
<!MissingKey:41:It tastes like sunlight with cinnamon. I don't like it.>,It tastes like sunlight with cinnamon. I don't like it.,Es schmeckt wie ein lauer Sommermorgen mit Zimt. Ich mag's ja nicht.,喝起来像阳光和肉桂的混合物，我不太喜欢这个味道。,お日さまの光にシナモンを振ったみたいな味がするよ。ボクはキライ。,계피랑 같이 먹으면 햇살 같은 맛이 난답니다. 전 별로네요.,喝起來像陽光和肉桂的混合物，我不太喜歡這個味道。,Ça a un goût de soleil avec de la cannelle. Je n'aime pas ça.,На вкус напоминает смесь солнечного света и корицы. Я не любитель подобного.,Tem gosto de luz do sol com canela. Não me apetece.,"Sabe a una mezcla de rayo de sol y canela. Un asco, vaya."
<!MissingKey:42:You are now part of the pack.>,You are now part of the pack.,Du bist nun Teil des Rudels.,你现在是狼群里的头狼了！,これでキミも群れの一員だ。,이제 당신도 무리의 일원입니다.,你現在是狼群裏的頭狼了！,Vous faites désormais partie de la meute.,Теперь вы — часть стаи.,Agora você faz parte da matilha.,Ahora eres parte de la manada.
<!MissingKey:43:When a single combobulate is not enough.>,When a single combobulate is not enough.,Manchmal muss man eben re-rekombinieren.,比较稳定，不会像另外一个重组器一样把自己也分解掉。,ギャンブルは絶対使っちゃいけない物に手を付けてからが本当の勝負。手始めに家中の家具を突っ込むとするか。,한 번의 재결합으로는 충분하지 않았다면.,比較穩定，不會像另外一個重組器一樣把自己也分解掉。,Quand un seul combobulateur ne suffit pas.,"Более стабилен и не распадается, как другой рекомбинатор.",Para quando um único combinador não é suficiente.,Cuando un simple organizador no es suficiente.
<!MissingKey:44:Give them the axe!>,Give them the axe!,Gib Axt!,让对手尝尝斧头的厉害！,オーノー！,도끼 맛 좀 보여주시죠!,讓對手嘗嘗斧頭的厲害！,Hachez-les donc !,Испытайте его на противнике!,Machadada neles!,"¡Hacha aquí, hacha allá!"
