key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:16:$t[Shop entered:] Gain $p_gold $gold. $t[$affected item used buff:] \~Gain $p_maxhealth maximum health.>,$t[Shop entered:] Gain $p_gold $gold. $t[$affected item used buff:] \~Gain $p_maxhealth maximum health.,$t[Laden betreten:] Erhalte $p_gold $gold. $t[$affected Gegenstand nutzt Buff:] Erhalte $p_maxhealth Maximalleben.,$t[进入商店时：]获得$p_gold枚$gold。$t[$affected的物品消耗增益效果时：]获得$p_maxhealth点最大生命值。,$t[ショップ入店時：]$p_gold $gold を獲得する $t[$affectedにあるアイテムがバフ消費毎：]体力最大値が$p_maxhealth増える,$t[상점 진입 시:] $gold를 $p_gold 획득합니다. $t[$affected에 위치한 아이템이 버프를 사용 시:] 최대 체력을 $p_maxhealth 획득합니다.,$t[進入商店時：]獲得$p_gold枚$gold。$t[$affected的物品消耗增益效果時：]獲得$p_maxhealth點最大生命值。,$t[En entrant dans la boutique :] gagnez $p_gold $gold. $t[Bonus en utilisant un objet $affected :] gagnez $p_maxhealth des PV max.,$t[Переход в магазин:] добавляет $p_gold $gold. $t[Когда $affected предмет использует усиление:] повышает максимальное здоровье на $p_maxhealth ед.,$t[Ao entrar na loja:] Ganha $p_gold $gold. $t[$affected buff de item usado:] Ganhe $p_maxhealth de vida máxima.,$t[Al entrar en la tienda:] Obtiene $p_gold $gold. $t[Con ventaja de $affected objeto:] Obtiene $p_maxhealth PS máx.
<!MissingKey:17:$t[Every $cds:] Gain $p1 random buffs and make $affected $h[Food] trigger $p2% faster (up to $p3%). >,"$t[Every $cds:] Gain $p1 random buffs and make $affected $h[Food] trigger $p2% faster (up to $p3%). 

 All your $h[Pets] have a $chance% chance to activate twice. 

 Friends of the forest are offered in the shop.","$t[Alle $cds:] Erhalte $p1 zufällige Buffs, $affected $h[Essen] aktiviert $p2% schneller (bis zu $p3%). 

 $h[Gefährten] haben $chance% Chance, doppelt aktiviert zu werden. 

 Waldfreunde werden im Laden angeboten. ","$t[每$cds：]获得$p1层随机增益效果，且$affected的$h[食物]触发快$p2%（最高$p3%）。

你所有的$h[宠物]有$chance%的几率激活两次。

森林之友会在商店出现。","$t[$cd秒毎：]$p1バフを獲得し、$affectedにある$h[食べ物]の使用速度が$p2%上がる（最大$p3%まで） 

 すべての$h[ペット]は$chance%の確率で2回発動する 

森の仲間たちがショップで売られるようになる","$t[$cd초마다:] 무작위 버프를 $p1개 획득하고, $affected에 위치한 $h[음식]이 $p2% 빠르게 발동하게 합니다 (최대 $p3%).

모든 $h[펫]은 $chance%의 확률로 두 번 발동합니다.

숲속 친구들이 상점에 등장합니다.","$t[每$cd秒：]獲得$p1層隨機增益效果，且$affected的$h[食物]觸發快$p2%（最高$p3%）。

你所有的$h[寵物]有$chance%的幾率啟動兩次。

森林之友會在商店出現。","$t[Toutes les $cd s :] gagnez $p1 bonus aléatoires et rendez le déclenchement de la $h[Nourriture] $affected $p2 % plus rapide (jusqu'à $p3 %). 

 Tous vos $h[Familiers] ont $chance % de chance d'être activés deux fois. 

Les amis de la forêt peuvent apparaître dans la boutique.","$t[Раз в $cd сек.:] добавляет до $p1 случайных усилений, а $affected предметы типа $h[еда] срабатывают на $p2% чаще (максимум до $p3%). 

 Есть шанс $chance%, что любой предмет типа $h[питомец] сработает дважды. 

 Есть шанс появления в магазине лесных жителей.","$t[A cada $cd s:] Ganha $p1 buffs aleatórios e faz os $h[Alimentos] $affected se ativarem $p2% mais rápido (até $p3%). 

 Todos os seus $h[Animais] têm $chance% de chance de se ativarem duas vezes. 

 Amigos da floresta são oferecidos na loja.","$t[Cada $cd s]: Obtiene $p1 ventajas al azar y hace que la $h[Comida] $affected se active un $p2 % más rápido (máximo: $p3 %). 

 Todas las $h[Mascotas] propias tienen un $chance % de probabilidad de activarse dos veces. 

 Los amigos del bosque se ofrecen en la tienda."
<!MissingKey:18:$holy-Items have +$p_sales% chance to be on sale. >,"$holy-Items have +$p_sales% chance to be on sale. 

 $h[Oil Lamps] and $h[Djinn Lamps] gain $holy. 

 $affected $holy-Items trigger $p_speed% faster.","$holy-Gegenstände haben +$p_sales% Chance im Angebot zu sein. 

 $h[Öllampen] und $h[Wunderlampen] erhalten $holy. 

 $affected $holy-Gegenstände aktivieren $p_speed% schneller.","$holy物品增加$p_sales%的打折几率。

 $h[油灯]和$h[阿拉丁神灯]获得$holy属性。

 $affected的$holy物品触发快$p_speed%。","$holy アイテムのセール発生確率 +$p_sales% 

$h[オイルランプ]と$h[魔神のランプ]が $holy を得る 

$affectedにある $holy アイテムの使用速度が$p_speed%上がる","$holy 아이템의 할인 확률이 $p_sales% 증가합니다.

$h[오일 램프]와 $h[요술 램프]가 $holy으로도 취급됩니다.

$affected에 위치한 $holy 아이템이 $p_speed% 빠르게 발동합니다.","$holy物品增加$p_sales%的打折幾率。

 $h[油燈]和$h[阿拉丁神燈]獲得$holy屬性。

 $affected的$holy物品觸發快$p_speed%。","Les objets $holy ont +$p_sales % de chance d'être en promotion. 

 Les $h[Lampes à huile] et les $h[Lampes à génie] gagnent $holy. 

 Les objets $holy $affected se déclenchent $p_speed % plus vite.","Шанс того, что $holy предметы появятся в магазине со скидкой +$p_sales%. 

 $h[Масляная лампа] и $h[Волшебная лампа] получают $holy. 

 $affected $holy предметы срабатывают на $p_speed% чаще.","Itens-$holy têm +$p_sales% de chance de estar em promoção. 

 $h[Lamparinas] e $h[Lâmpadas Mágicas] ganham $holy. 

 Itens-$holy $affected acionam $p_speed% mais rápido.","Los objetos $holy tienen +$p_sales % probabilidad de estar en oferta. 

 Las $h[Lámparas de aceite] y las $h[Lámparas mágicas] obtienen $holy. 

 Los objetos $holy $affected se activan un $p_speed % más rápido."
<!MissingKey:19:Gives $p1 maximum health ($bag).>,Gives $p1 maximum health ($bag).,Erhöht Maximalleben um $p1 ($bag).,给予$p1点最大生命值（$bag）。,体力最大値が$p1増える（$bag）,최대 체력을 $p1 획득합니다 ($bag).,給予$p1點最大生命值（$bag）。,Donne $p1 des PV max ($bag).,Повышает максимальное здоровье на $p1 ед. ($bag).,Dá $p1 de vida máxima ($bag).,Otorga $p1 PS máx. ($bag).
<!MissingKey:20:$t[Every $cds:] Deal $dam $effect-damage. \~$chance% chance to inflict $p_poison $poison. \~$chance2% chance to inflict $p_blind $blind. >,"$t[Every $cds:] Deal $dam $effect-damage. \~$chance% chance to inflict $p_poison $poison. \~$chance2% chance to inflict $p_blind $blind. 

 Triggers $p1% faster for each $affected $h[Pet] or $h[Food].","$t[Alle $cds:] Verursache $dam $effect-Schaden. $chance% Chance, $p_poison $poison zu verursachen. $chance2% Chance, $p_blind $blind zu verursachen. 

 Aktiviert $p1% schneller pro \~$affected $h[Gefährte] und $h[Essen].","$t[每$cds：]造成$dam点$effect伤害。有$chance%的几率向对手施加$p_poison层$poison。还有$chance2%的几率向对手施加$p_blind层$blind。

每有一个$affected的$h[宠物]或$h[食物]，效果触发快$p1%。","$t[$cd秒毎：]$dam $effect ダメージを与える。$chance%の確率で$p_poison $poison を付与する。$chance2%の確率で$p_blind $blind を付与する 

 $affectedにある$h[ペット]または$h[食べ物] 1つにつき使用速度が$p1%上がる","$t[$cd초마다:] $effect 피해를 $dam 가합니다. $chance%의 확률로 $poison을 $p_poison 부여합니다. $chance2%의 확률로 $blind을 $p_blind 부여합니다.

$affected에 위치한 $h[펫]과 $h[음식]마다 $p1% 빠르게 발동합니다.","$t[每$cd秒：]造成$dam點$effect傷害。有$chance%的幾率向對手施加$p_poison層$poison。還有$chance2%的幾率向對手施加$p_blind層$blind。

每有一個$affected的$h[寵物]或$h[食物]，效果觸發快$p1%。","$t[Toutes les $cd s :] infligez $dam de dégâts $effect. $chance % de chance d'infliger $p_poison $poison. $chance2 % de chance d'infliger $p_blind $blind. 

 Se déclenche $p1 % plus vite pour chaque $h[Nourriture] ou $h[Familier] $affected.","$t[Раз в $cd сек.:] наносит $dam ед. $effect-урона. Шанс $chance% наложить на противника $p_poison $poison. Также есть шанс $chance2% наложить на противника $p_blind $blind. 

 Срабатывает на $p1% чаще за каждый $affected предмет типа $h[питомец] или $h[еда].","$t[A cada $cd s:] Causa $dam de dano de $effect. $chance% de chance de infligir $p_poison $poison. $chance2% de chance de infligir $p_blind $blind. 

 Ativa $p1% mais rápido por cada $h[Animal] ou $h[Alimento] $affected.","$t[Cada $cd s:] Inflige $dam de daño de $effect. $chance % de probabilidad de infligir $p_poison $poison. $chance2 % de probabilidad de infligir $p_blind $blind. 

 Se activa un $p1 % más rápido por cada $h[Mascota] o $h[Comida] $affected."
<!MissingKey:21:Cauldron>,Cauldron,Kessel,大煮锅,大ナベ,가마솥,大煮鍋,Chaudron,Котел,Caldeirão,Caldero
<!MissingKey:22:False Life>,False Life,Falsches Leben,亡灵庇护,偽りの命,거짓된 생명,亡靈庇護,Fausse vie,Ложная жизнь,Vida Falsa,Falsa vida
<!MissingKey:23:Deals additional +$p1 damage per $empower.>,Deals additional +$p1 damage per $empower.,Verursacht zusätzlich +$p1 Schaden pro $empower.,每有一层$empower造成+$p1额外伤害。,$empower 1スタックにつき与ダメージ +$p1,$empower마다 추가로 $p1의 피해를 가합니다.,每有一層$empower造成+$p1額外傷害。,Inflige +$p1 de dégâts supplémentaires par $empower.,Дополнительно наносит +$p1 ед. урона за каждый эффект $empower.,Causa +$p1 de dano por $empower.,Inflige $p1 más de daño adicional por cada $empower.
<!MissingKey:24:Lil Chestnut>,Lil Chestnut,Mini-Truhbert,小板栗,チェストナット君,밤톨이,小板栗,Petite Châtaigne,Зубастик,Pequeno Baulito,Cofremilitín
"<!MissingKey:25:$t[On hit:] $chance% chance to stun for $p1s, this and $affected items gain $p2% accuracy and $chance2% critical hit chance. $t[During $rage[Battle Rage]:] Trigger $p4% faster. >","$t[On hit:] $chance% chance to stun for $p1s, this and $affected items gain $p2% accuracy and $chance2% critical hit chance. $t[During $rage[Battle Rage]:] Trigger $p4% faster. ","$t[Bei Treffer:] $chance% Chance, für $p1s Benommenheit auszulösen, dieser Gegenstand und $affected Gegenstände erhalten $p2% Genauigkeit und $chance2% kritische Trefferchance. $t[Während $rage[Kampfrausch]:] Aktiviert $p4% schneller. ",$t[击中对手时：]有$chance%的几率眩晕对手$p1s，铜指虎和$affected的$h[伤害类物品]都会获得$p2%命中率加成和$chance2%暴击率加成。$t[$rage[狂战士之怒]期间：]效果触发快$p4%。,$t[ヒット時：]$chance%の確率で$p1秒間スタンさせる。この武器と$affectedにある$h[アイテム]の命中率 +$p2%、クリティカル率 +$chance2% $t[$rage[バーサク]中：]使用速度が$p4%上がる,"$t[적중 시:] $chance%의 확률로 $p1초 동안 기절시키며, 이 아이템과 $affected에 위치한 $h[아이템]이 $p2%의 추가 명중률과 $chance2%의 추가 치명타 확률을 지닙니다. $t[$rage[전투 격노] 동안:] $p4% 빠르게 발동합니다.",$t[命中對手時：]有$chance%的機率暈眩對手$p1秒，銅指虎和$affected的$h[傷害類物品]都會獲得$p2%命中率加成和$chance2%暴擊率加成。$t[$rage[戰鬥狂怒]期間：]效果觸發速度加快$p4%。,"$t[Par coup :] $chance % de chance d'étourdir pendant $p1 s, ceci et les $h[Objets] $affected gagnent $p2 % de précision et $chance2 % de chance de coup critique. $t[Pendant le mode $rage[Rage de combat] :] se déclenche $p4 % plus vite.",$t[При попадании:] шанс $chance% оглушить противника на $p1 сек. Сам предмет и $affected $h[предметы] повышают точность на $p2% и шанс критического удара на $chance2%. $t[Во время $rage[ярости]:] срабатывает на $p4% чаще.,"$t[Ao acertar:] $chance% de chance de atordoar por $p1 s, e este e os $h[Itens] $affected ganham $p2% de precisão e $chance2% de chance de acerto crítico. $t[Durante $rage[Fúria de Combate]:] Ativa-se $p4% mais rápido.","$t[Al golpear:] $chance % de probabilidad de aturdir durante $p1 s, este y otros $affected $h[Objetos] obtienen un $p2 % de precisión y un $chance2 % de probabilidad de golpe crítico. $t[Durante la $rage[Rabia de batalla]:] Se activa un $p4 % más rápido."
<!MissingKey:26:Chili Pepper>,Chili Pepper,Chilischote,红辣椒,トウガラシ,고추,紅辣椒,Piment,Перец чили,Pimenta,Guindilla
<!MissingKey:27:$affected $fire-items gain $holy. $t[Start of battle:] Gain $block $bl. Gain $p1 $heat for each $affected $holy-item. $t[Every $cds:] Use $p2 $heat to heal for $p3 and cleanse $p4 debuffs.>,$affected $fire-items gain $holy. $t[Start of battle:] Gain $block $bl. Gain $p1 $heat for each $affected $holy-item. $t[Every $cds:] Use $p2 $heat to heal for $p3 and cleanse $p4 debuffs.,"$affected $fire-Gegenstände erhalten $holy. $t[Kampfbeginn:] Erhalte $block $bl. Erhalte $p1 $heat pro $affected $holy-Gegenstand. $t[Alle $cds:] Nutze $p2 $heat, um $p3 zu heilen und $p4 Debuffs zu entfernen.",$affected的$fire物品获得$holy属性。$t[战斗开始时：]获得$block点$bl。每有一个$affected的$holy物品，获得$p1层$heat。$t[每$cds：]消耗$p2层$heat来获得$p3点生命恢复，并移除$p4层减益效果。,$affectedにある $fire アイテムが $holy を得る $t[バトル開始時：]$block $bl を獲得する。$affectedにある $holy アイテム1個につき$p1 $heat を獲得する $t[$cd秒毎：]$p2 $heat を消費して、体力を$p3回復し、$p4デバフを解除する,$affected에 위치한 $fire 아이템이 $holy 아이템으로도 취급됩니다. $t[전투 시작 시:] $bl를 $block 획득합니다. $affected에 위치한 $holy 아이템마다 $heat를 $p1 획득합니다. $t[$cd초마다:] $heat를 $p2 사용해 체력을 $p3 회복하고 디버프를 $p4개 제거합니다.,$affected的$fire物品獲得$holy屬性。$t[戰鬥開始時：]獲得$block點$bl。每有一個$affected的$holy物品，獲得$p1層$heat。$t[每$cd秒：]消耗$p2層$heat來獲得$p3點生命恢復，並移除$p4層減益效果。,Les objets $fire $affected gagnent $holy. $t[Au début du combat :] gagnez $block $bl. Gagnez $p1 $heat pour chaque objet $holy $affected. $t[Toutes les $cd s :] utilisez $p2 $heat pour guérir de $p3 et retirer $p4 malus.,"$affected $fire предметы также получают тип $holy. $t[Начало боя:] добавляет $block $bl. Добавляет $p1 $heat за каждый $affected $holy предмет. $t[Раз в $cd сек.:] использует $p2 $heat, чтобы восстановить $p3 ед. здоровья и снять до $p4 негативных эффектов.",Os itens-$fire $affected ganham $holy. $t[Início da batalha:] Ganha $block $bl. Ganha $p1 $heat por cada item-$holy $affected. $t[A cada $cd s:] Gasta $p2 $heat para restaurar $p3 de vida e remover $p4 debuffs.,Los objetos de $fire $affected son también $holy. $t[Al comienzo de la batalla:] Obtiene $block $bl. Obtiene $p1 $heat por cada objeto $holy $affected. $t[Cada $cd s:] Usa $p2 $heat para recuperar $p3 PS y eliminar $p4 desventajas.
<!MissingKey:28:Knife to Meet You>,Knife to Meet You,"Schön, Sie zu treffen",刀刀见血,ナイフ・トゥ・ミーチュー,칼 부탁드려요,刀刀見血,Très couteau de vous rencontrer,Нож в спину,Prazer em Te Cortar,¡Endagado de conocerte!
